results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime,seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2,seconds.1,arousal.1,valence.1,cheerful.1,happy.1,angry.1,nervous.1,sad.1,boredom.1,confusion.1,delight.1,concentration.1,frustration.1,surprise.1,none_1.1,confrustion.1,contempt.1,dejection.1,disgust.1,eureka.1,pride.1,sorrow.1,none_2.1
0.73325318,,0.90126884,13s,12.500s,stated,1,en-us,29.977823s,105.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x,105.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.70990866,13.300s,13s,that,1,en-us,29.977823s,110.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x,110.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.91283858,13.500s,13.300s,Korea,1,en-us,29.977823s,115.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x,115.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.72981113,13.600s,13.500s,will,1,en-us,29.977823s,120.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x,120.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.47330791,14s,13.600s,except,1,en-us,29.977823s,125.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x,125.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,,x,,,x,,,,,,,
0.73325318,,0.91283858,14.100s,14s,for,1,en-us,29.977823s,130.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x,130.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,,x,,,x,,,,,,,
0.73325318,,0.66538113,14.700s,14.100s,Fisheries,1,en-us,29.977823s,135.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x,135.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,,x,,,x,,,,,,,
0.73325318,,0.91283858,16.300s,15.900s,unlike,1,en-us,29.977823s,140.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,140.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,,x,,,x,,,,,,,
0.73325318,,0.91283858,16.500s,16.300s,many,1,en-us,29.977823s,145.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,145.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,,x,,,x,,,,,,,
0.73325318,,0.68291759,16.600s,16.500s,of,1,en-us,29.977823s,150.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,150.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
0.73325318,,0.49603203,16.700s,16.600s,the,1,en-us,29.977823s,155.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,155.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
0.73325318,,0.42619392,17.100s,16.700s,other,1,en-us,29.977823s,160.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,160.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
0.73325318,,0.91283858,17.400s,17.100s,Asian,1,en-us,29.977823s,165.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,165.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
0.73325318,,0.35810974,17.900s,17.400s,countries,1,en-us,29.977823s,170.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,170.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,x,,,,,,,
0.73325318,,0.55119395,18.100s,17.900s,that,1,en-us,29.977823s,175.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,175.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,,x,,,,,,x,,,,,,,
0.73325318,,0.91283858,18.200s,18.100s,did,1,en-us,29.977823s,180.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,x,,,,,,,,180.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,x,,,,,,,,,,x,
0.73325318,,0.72265434,18.400s,18.200s,not,1,en-us,29.977823s,185.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,x,,,,,,,,185.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,x,,,,,x,,,,,
0.73325318,,0.71108061,18.600s,18.400s,sign,1,en-us,29.977823s,190.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,190.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,x,,,,,x,,,,,
0.73325318,,0.49502805,18.900s,18.600s,it,1,en-us,29.977823s,195.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,195.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,x,,,,,x,,,,,
0.73325318,,0.91283858,19.500s,19.400s,and,1,en-us,29.977823s,200.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,200.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,x,,,,,x,,,,,
0.73325318,,0.58997452,19.600s,19.500s,I,1,en-us,29.977823s,205.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,205.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,x,,,,,x,,,,,
0.73325318,,0.72265434,19.700s,19.600s,think,1,en-us,29.977823s,210.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,210.0,5.0,4.0,1.0,4.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
0.73325318,,0.91283858,19.800s,19.700s,it's,1,en-us,29.977823s,215.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,215.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.53547782,20s,19.800s,very,1,en-us,29.977823s,220.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,220.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.65433544,20.400s,20s,important,1,en-us,29.977823s,225.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,225.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.91283858,20.500s,20.400s,to,1,en-us,29.977823s,230.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,x,,,,,,,,230.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.68291759,20.700s,20.500s,create,1,en-us,29.977823s,235.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,235.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.91283858,21s,20.700s,keeps,1,en-us,29.977823s,240.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,240.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,x,,,,,,x,,,
0.73325318,,0.71108061,21.100s,21s,up,1,en-us,29.977823s,245.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,245.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,x,,,,,,x,,,
0.73325318,,0.71108061,21.200s,21.100s,with,1,en-us,29.977823s,250.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,250.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.91283858,21.400s,21.200s,this,1,en-us,29.977823s,255.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,255.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.56291586,22s,21.400s,promise,1,en-us,29.977823s,260.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,260.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.6957559,24s,23.900s,and,1,en-us,29.977823s,265.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,265.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.4312492,24.400s,24s,that,1,en-us,29.977823s,270.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,270.0,5.0,2.0,1.0,1.0,1.0,3.0,2.0,,,,,x,,,,,,,,,x,
0.73325318,,0.69575584,24.600s,24.400s,is,1,en-us,29.977823s,275.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,275.0,5.0,2.0,1.0,1.0,1.0,3.0,2.0,,,,,x,,,,,,,,,x,
0.73325318,,0.70503104,25s,24.600s,becoming,1,en-us,29.977823s,280.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,280.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.66139358,25.200s,25s,more,1,en-us,29.977823s,285.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,285.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.91283858,25.300s,25.200s,and,1,en-us,29.977823s,290.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,290.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.71108061,25.400s,25.300s,more,1,en-us,29.977823s,295.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,295.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.57714671,26s,25.400s,International,1,en-us,29.977823s,300.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,300.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.66980225,26.400s,26s,laws,1,en-us,29.977823s,305.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,305.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,,,x,,,,,,,,,,x,,
0.73325318,,0.37881657,27.500s,27s,and,1,en-us,29.977823s,310.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,310.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,,,x,,,,,,,,,,x,,
0.73325318,,0.91283858,28.400s,28.100s,there's,1,en-us,29.977823s,315.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,315.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.58997452,28.400s,28.400s,a,1,en-us,29.977823s,320.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,320.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.78774661,28.800s,28.400s,reason,1,en-us,29.977823s,325.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,325.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.53547782,28.900s,28.800s,why,1,en-us,29.977823s,330.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,330.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.91283858,29s,28.900s,I,1,en-us,29.977823s,335.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,335.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.63587129,29.400s,29s,said,1,en-us,29.977823s,340.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,340.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.72817189,29.500s,29.400s,they,1,en-us,29.977823s,345.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,345.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.72265434,29.700s,29.500s,would,1,en-us,29.977823s,350.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,350.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.71259373,start so I'm gonna brush from the article we assigned it 0.13 the 21 convention direct with Russia act which basically stated that pretty well except for Fisheries unlike many of the other Asian countries that did not sign it and I think it's very important to create keeps up with this promise that it's becoming more and more International lies and there's a reason why I said they would,0.91283858,0.900s,0.300s,start,2,en-us,30.168254s,355.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,355.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.71259373,,0.37327403,2.600s,1.900s,so,2,en-us,30.168254s,360.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,360.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,,x,,,,,,,,,,,,,x
0.71259373,,0.36111715,5.100s,5s,I'm,2,en-us,30.168254s,365.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,365.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,,x,,,,,,,,,,,,,x
0.71259373,,0.67909479,5.200s,5.100s,gonna,2,en-us,30.168254s,370.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,370.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,,x,,,,,,,,,,,,,x
0.71259373,,0.73918146,5.500s,5.200s,brush,2,en-us,30.168254s,375.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,375.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.71259373,,0.91283858,5.600s,5.500s,from,2,en-us,30.168254s,380.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,380.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.71259373,,0.91283858,5.700s,5.600s,the,2,en-us,30.168254s,385.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,385.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.71259373,,0.75720203,6.200s,5.700s,article,2,en-us,30.168254s,390.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,390.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.71259373,,0.91283858,6.800s,6.600s,we,2,en-us,30.168254s,395.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,395.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.71259373,,0.91283858,7.300s,6.800s,assigned,2,en-us,30.168254s,400.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,400.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.71259373,,0.42850995,7.500s,7.300s,it,2,en-us,30.168254s,405.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,405.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.71259373,,0.91283858,8.300s,7.500s,0.13,2,en-us,30.168254s,410.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,410.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.71259373,,0.50201136,8.800s,8.300s,the,2,en-us,30.168254s,415.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,415.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
0.71259373,,0.91283858,9.700s,9.300s,21,2,en-us,30.168254s,420.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,420.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
0.71259373,,0.44739592,10.300s,9.700s,convention,2,en-us,30.168254s,425.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,425.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
0.71259373,,0.91283858,10.600s,10.300s,direct,2,en-us,30.168254s,430.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,430.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
0.71259373,,0.67909479,10.800s,10.600s,with,2,en-us,30.168254s,435.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,435.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
0.71259373,,0.78208947,11.200s,10.800s,Russia,2,en-us,30.168254s,440.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,440.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
0.71259373,,0.7152229,11.500s,11.200s,act,2,en-us,30.168254s,445.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,445.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
0.71259373,,0.91283858,11.800s,11.700s,which,2,en-us,30.168254s,450.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,450.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
0.71259373,,0.42047596,12.500s,11.800s,basically,2,en-us,30.168254s,455.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,455.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
0.71259373,,0.86454546,13s,12.500s,stated,2,en-us,30.168254s,460.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,460.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
0.71259373,,0.61452222,13.300s,13s,that,2,en-us,30.168254s,465.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,465.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.71259373,,0.69349813,13.500s,13.300s,pretty,2,en-us,30.168254s,470.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,470.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.71259373,,0.48165762,13.600s,13.500s,well,2,en-us,30.168254s,475.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,475.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.71259373,,0.34928507,14s,13.600s,except,2,en-us,30.168254s,480.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,480.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.71259373,,0.66637087,14.100s,14s,for,2,en-us,30.168254s,485.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x,485.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
