,results/alternatives/0/transcript,results/resultEndTime
40, I also accept that for just comment about the wizard is and also the some highlighter for receive other citizenship of South Koreans and but I think for the South Korean so policy of accepting refugees is also already rigorous for that because of the place of acceptance is just only 2%,364.564813s
41, Florida to South Korea to policy of accepting a refugee is on is also already rigorous for that because of the rest of accepting it just only 2%,364.725175s
42, from there over ten thousand Thirty thousands of people to apply for energy but cannot expect but get the rejection from that and by racing there are there are some requests of petition from the citizens of to the Blue House of Korean and I think the government now considering that to give more deliberate,395.855607s
43," from there over 10,000 30 thousands of people to apply for really see but cannot expect but get the rejection from that and by raising the rear there are some requests or petition from the citizens of to the Blue House of Korean and I think the government now considering that to give more deliberate",395.875652s
44, process or for get for giving their refugees get up to the other nations nationality and also they this is some car like they call hit or humanitarians few minutes rent with us that the government only give this result to Refugee only one years to guarantee that when their circumstances,425.833430s
45, assess or for get for giving their refugees data to the other nations nationality and also they this is some car like they call hit or humanitarians humanitarian visas that the government only give this result to the refugee or 31 years to guarantee that when their circumstances,425.853475s
46, so situation they're in their their home country is becoming Wheels good get better and they can guarantee that they will leave career,435.375018s
47, so situation the in their their home country is becoming Wheels good get better and they can guarantee that they will lead career right that I think like it's just like 2% that Korean government us proof about the Visa order represent us but we just still have don't know or just not being currently like,455.690982s
48, right that I think like it's just like 2% that Korean government has proved about a Visa or the refugee status but we just still have don't know nothing currently like it's not clear about a refugee State at all so it's like if they do the wrong things what legals illegals or how the government do how the police do,468.109077s
49, it's not clear about your Equity say that also is like if they do the wrong things what legals illegals or how the government do how the police do for the refugees something like that so I think is about a life conditions of the Korea is also like they just want to know how should they do and how should they can practice your daily with Lexa T is like it's not it's not,485.789078s
50, order refugees something like that so I think is about alive conditions of the Korea is also like they just want to know how should they do and how should they can how should they leave with less booty is like it's not it's not it's still not clear for now so it's like,489.186764s
51, if they're not clear for an hour so it's like,489.216833s
52, I think they just want to know about the things that can guarantee their life that's just what I want to say so if it's for my opinion are go men can explain in this question and I think like all Korean movie rest the question I think it will be,514.313613s
53, I think they just want to know about the things that can guarantee their life this is what I want to say so if it's for my opinion are go men can explain in this question and I think like all Korean maybe raise the question I think it will be,514.383772s
54, good things it's like now it's not but in the future is maybe can yeah,522.662503s
55, good things it's like now it's not but in the future is maybe can yeah,522.702592s
56, you mean that how to guarantee the yeah is like is the big question for our Korean actually the refugee,535.341187s
57, under the laws of the Korean yeah I think if they do something wrong or cause sometimes so they could give penalty or punishment from the law as well,548.641278s
58, you mean that how to garden theater yeah the big question or Korean actually rigidity under the laws of the Korean yeah I think if they do something wrong or cause some clams so they will give penalty or punishment from the law as well,548.681369s
59, so in this case I think is,551.798422s
60, so in this case I think is,551.838511s
61, not only for leadership for everyone that you grabbed and empty and you made I think that restoration because the some Koreans have Instinct awesome fear with agricultural or xenophobia that you have received that yet I think there's some kind of more emotional than rational questions they are have some fear of you insecure that they are happier that,582.317470s
62, not only for a little edgy for everyone that you have and I'm too and you mean I think that race question because the some Koreans have Instinct often fear with other cultural or xenophobia that you have received that yeah I think there's some kind of more emotional than rational equations yeah because they are have some fear of you insecure that they are happier that,582.327492s
63, never seen something like that paid more than others some problem that's called inside they're feeling knots from there that their Fiji yeah and put on that patients I think you may be at a Korean citizenship maybe you have to trust your government process there that will debut accept only that good quality refugee,612.295293s
64, never seen something like that Faith before something like that I think it's a problem that's called inside they're feeling not from their better to G yeah and put on that patients I think you may be at a Korean citizenship maybe you have to trust your process yeah that Booth day will you accept only that good quality refugees,612.305315s
65, he that we may cause no clams in the future,617.096155s
66, see that view may cause no clams yeah in the future,617.116201s
67, it's over now,622.989488s
