,results/alternatives/0/transcript,results/resultEndTime
60, and when people drop to the like the fisherman Tom to help the features catch the fish in the sea but they re they yeah at first they tried to do this job but they insisted that the wage is too low and they made a Facebook group and some of them actually went to Korea Mainland and was on the news report so I don't think there will be confined to the Jesuit Island and also although Korea is a default developed country in,579.370802s
61, well well defined term I don't think it is developed country it is somewhere between the developing and developed country like there is like almost a double-double difference of an income for those European countries or United States so yeah I don't I don't think there is enough wealth for Korean government to support the future immigration but would you agree that at least Korea is more developed,609.388717s
62, well well defined term I don't think it is developed country it is somewhere between the developing and developed country like there is like almost a double-double difference of an income for those European countries or United States so yeah I don't I don't think there's enough Wells for Korean government to support the future immigration but would you agree that at least Korea is more developed than,609.388717s
63, Yemen that's true and would you agree that Korea is a more developed Nation who has signed the UN agreement for refugees has an international obligation to take in refugees yeah,623.801325s
64, Yemen that's true and would you agree that Korea is a more developed Nation who has signed the UN agreement for refugees has an international obligation to take in refugees yeah,623.871483s
65, then you agree that Korea has the obligation to take refugees and therefore it must take it are they fine for the UN immigration but that does not mean that they have to take them a I haven't read the UN Refugee act perfectly but the Korea doesn't have enough wealth to support,644.137334s
66, then you agree that Korea has the obligation to take refugees and therefore it must take it are they fine for the UN immigration but that does not mean that they have to take them and I haven't read the UN Refugee act perfectly but the Korea doesn't have enough wealth to support the,644.167402s
67, and then the current young people young Generations have don't have jobs so why should you use tax on them to support them while even the Korean people don't have enough jobs and even like the veterans who joined the Korean War skill,662.298422s
68, and then the current young people young Generations have been have jobs so why should you use tax on them to support them while even the Korean people don't have enough jobs and even like the veterans who joined the Korean War still,662.659239s
69," still living in poverty but before you agreed that Korea is a developed Nation compared to Yemen yeah would you agree that as a developed Nation it has capacity to take in at least 1,000 foreigners but Dad might lead into like potential crisis because those if we let those immigrants in they leak to Korean Mainland and even will further like the social problems larger",693.218378s
70, still living in poverty but before you agreed that Korea is a developed Nation compared to Yemen yeah would you agree that as a developed Nation it has capacity to take in at least thousand foreigners but Dad might lead into like potential crisis because those if we let those immigrants in they leaked to Korean Mainland and even real for my social problems larger,693.238423s
71, the news report said yeah so do you really believe that these 550 people pose real threats against 50 million Koreans because if we make exclusion for them even more young people will come to Korea because of that not even your man but even other Middle East and for example like South America Venezuela so if you make exclusion to the case it can future be a threat to Korean,723.887766s
72, the news reports that yeah so do you really believe that these 550 people pose real threats against 50 million Koreans because it's being made exclusion for them even more young people will come to Korea because of that not even young man but even other Middle East and for example like South America Venezuela so if they make exclusion to the case if can future be addressed to Korean,723.897789s
73, immigrant acts but certainly it will stop,731.986088s
74, immigrant acts well certainly it will stop it here so,731.996111s
