,results/alternatives/0/transcript,results/resultEndTime
18, first of all you mentioned that s okay so well you mentioned that a lot of Korean citizens are against it and as a as an Evidence you showed the petition that number of the petitioners in foreign against these refugees but I believe this issue is not really a democratic issue that can be decided upon the popular Theory,241.015286s
19, first of all you mentioned that s okay so well you mentioned that a lot of Korean citizens are against it and as a as an evidence to show the petition that number of the petitioners and for I mean against peace refugees but I believe this issue is not really a democratic issue that can be decided upon the popular Theory,241.015287s
20, votes it is the legal right to be examined under a fair and Justice law because it is a law we I mean it is also kind of an International Love Me Korea sign like several tens of years ago and we promise to the international society that we are going to accept the refugees in this or that cases so well I do understand a lot of people are against the well there are a lot of like emotional or,270.993109s
21, votes it is the legal rights to be examined under a fair and Justice law because it is a law and we I mean it is also kind of an International Love Me Korea sign like several tens of years ago and we promise to the international society that we are going to accept the refugees in this or bad cases so well I do understand a lot of people are against well there are a lot of like emotional or,270.993110s
22, emotional or personal personal feelings against these refugees or in general against work for foreigners coming in the country but well I think that's not really the issue in this case and,290.036194s
23, emotional or personal personal feelings against this refuges or in general against this or for foreigners coming in the country but well I think that's not really the issue in this case and also also well,293.253474s
24, and also also well,293.263495s
25, you also mentioned that they're already legal legally residing two million foreign people in South Korea and what I want what I just want to mention is that they're not illegal immigrants are just under a process so well it's not really it's really hard to say very illegal he's just in the in between that process in between those fetuses and well,320.394880s
26, you also mentioned that there are already legal legally residing two million foreign people in South Korea and what I want what I just want to mention is that they're not illegal immigrants they're just under a process so well it's not really it's really hard to say very illegal you just in the in between that process of in between those statuses well,320.455015s
27, you also mentioned about the responsibilities that the South Korea doesn't hold the responsibility to take care of this refugees but well let's go back to the represent convention and we do have a responsibility for that right so repeatedly you've mentioned the law but the agreement that tree has signed impact in 1994 which is more than 20 years ago and what we,350.703452s
28, you also mentioned about the responsibility that the South Korea doesn't hold the responsibility to take care of this refugees but well let's go back to the refugee convention and we do have a responsibility for that right so repeatedly you mentioned the law the the agreement that Korea has signed impact in 1994 which is more than 20 years ago and what we,350.713473s
29, but I want to point out is that if this law signed and if this was supposed to become an issue the government should not be responsible to educate the people prior to this disagreement happening so at this point people are not ready to accept the people although the government has taken the choice to sign the agreement the general population was not aware and the failure of the government to,380.731387s
30, but I want to point out is that if this law is signed and if this was supposed to become an issue the government should have been responsible to educate the people prior to this disagreement happening so at this point people are not ready to accept the people although the government has taken the choice to sign the agreement the general population was not aware and the failure of the government to,380.731389s
31, YouTube operation,383.948665s
32, educate the population,383.948667s
33," does not give it the right to just go forward and do what they have done in the past but the young gender generation of we're not aware of this issue and since back in 1994 over 33,000 refugees had applied but only 2.4 percent were accepted",403.432750s
34," does not give the right to just go forward and do what they have done in the past because the younger generation of we're not aware of this issue and since back in 1994 over 33,000 refugees had apply but only 2.4 percent were accepted",403.462816s
35, and right now the if the numbers were maintained there was no problem in maintaining that particular acceptance rate if he applied that acceptance rate to the current situation there should be no more problem although there's a sudden influx or so that incoming of the large number at this year last year,427.226580s
36, and right now the if the numbers were maintained and since there was no problem in maintaining that particular acceptance rate if he applied that acceptance rate to the current situation there should be a normal problem although there's a sudden influx or so that incoming of the large number at this year last year,427.256650s
37, we cannot accept more than what he had done previously without a safe angry life,435.735831s
38, we cannot accept more than what he had done previously without a safe family life,435.805992s
39, all right so well yeah I do agree we do in in a sense that since we have already signed their confession the government holds the responsibility to educate at least people about these conventions and are the country's responsibility International Society about refugees yeah I mean because because government lacks that I think that this kind of problem happens inside,477.400098s
40, all right so well yeah I do agree we do in a sense that since we have already signed the confession the government holds the responsibility to educate at least people about these conventions and the are the country's responsibility International Society about refugees yeah I mean because because government lacks that I think that this kind of problem happened is that furry,477.660685s
41, yeah well besides that,481.308941s
42, well besides that,481.349029s
43, you mentioned about rate of the two point two point four percent of the acceptance rate well I want to mention a little bit different view point of this,494.849576s
44, you mentioned about rate of the two point two point four percent of their acceptance rate well I want to mention a little bit different Viewpoint of this,494.889665s
45, well you said that it is really irregular death sudden influx of Romanian refugees in 2000 wait like 18 was really an irregular but well in general refugees don't have a choice of whether they want to go this country or that country just have an urge to escape their country and usually in that process they apply for the contactable curse and the book wasn't just a signpost,525.308489s
46, well you said that it is really irregular does sudden influx of Romanian refugees in 2000 wait like 18 was really an irregular but well in general refugees don't have a choice of the whether they want to go this country with that contagious have an urge to escape their country and usually in that process they apply for the conduct of Brokers and the book was just assigned also,525.318509s
47, okay I'll get this money and you just go that country so well it's not really their choices of arriving to judge you Allen and in that case we do have to consider the humanitarian and their Refugee status and Refugee status legally and lawfully in South Korea,542.026309s
48, okay I get this money and you just go that country so well it's not really their choices of arriving to church you Allen and in that case we do have to consider the humanitarian and their Refugee stages because Refugee status legally and lawfully in South Korea,542.036335s
49, so once again the,553.822999s
50, so once again the,553.853070s
51, we repeat the point that there was a sudden increase of from 41 people to over 500 people refugees suddenly coming to Korea although we have maintained a very low make the acceptance rate and the Brokers should have been aware of that however they did not take responsibility in your in your case according to what you mentioned so it's these people don't have a choice but so does Korea Korea,584.291934s
52, we repeat the point that there was a sudden increase of from 41 people to over 500 people refugees suddenly coming to Korea although we have maintained a very low maintenance acceptance rate and the Brokers should have been aware of that however they did not take responsibility and your case according to much attention so it's these people don't have a choice but so does Korea Korea,584.301959s
53, it's not ready for accepting me more than two point four percent at the moment because currently again once again we have not had strict policies about higher acceptance rates or in case of sudden a incoming of a large number of people in the general population was not aware,605.249349s
54, it's not ready for accepting the more than two point four percent at the moment because currently again once again we have not have strict policies about higher acceptance rates or in case of sudden a incoming of a large number of people in the general population was not aware,605.259374s
55, we are doing everything that is legal in terms of examining the people and making sure that the right people but you cannot say that the attitude of,624.673295s
56, unpreparedness it's wrong and that this is the natural reaction of the people in Korea you have to accept that,633.342909s
57, I think someone here are you,640.308669s
58, we are doing everything that is legal in terms of examining the people and it gives her that are the right people but we cannot say that the attitude of unpreparedness is wrong and that this is the natural reaction of the people in Korea and we have to accept that take some of your are you,641.180645s
59, okay so well since this is my final remarks I just want to mention it briefly about the whole argument of myself so I do think that we have to accept more I mean at least in this case you have to accept or after the thorough examination we have to accept this Romanian refugees arrived in Jeju Island and well of course as I mentioned over and over again it's all based on,679.898239s
60, I don't we can start up right now okay so well since it's my final remarks I just want to mention briefly about the whole argument of myself so I do think that we have to accept more I mean at least in this case you have to affect or after the thorough examination you have to accept this Romanian refugees arrived in judge Allah and well of course as I mentioned him over and over again it's all based on,679.908265s
61, Refugee Convention as we have signed in 1994 it is our promise to the international Society at that we are going to accept the refugees then it is also it's not really one-sided it's intervene a fishery for example if something happens in Korea and if Korean people is case South Korea for areas of different reasons about the threats well we redo it's packed that other nations who scientists,709.876062s
62, Refugee Convention as we have signed in 1994 it is our promise to the international society that we are going to accept the refugees and it is also it's not really one-sided it's in turbine a fishery for example if something happens in Korea and if Korean people is case South Korea for various of different reasons about the threats well we do expect that other nations who scientists,709.886088s
63, fashion except ourselves as a refugee and just like we may accept this your minion work which is right now in the southern coast of 2018 so yeah I do urge them you have to assign more and more research has to this Romanian refugees at least and of course it should be all based on the legal legal boundary we have to examine their urgent needs and whether they are really in threat in there,739.893977s
64, fashion except ourselves as a refugee and just like we may accept this Romanian refugees right now in the summer of 2018 so yeah I do urge that we have to assign more and more research has to this Dominion refugees at least and of course it should be all based on the illegals legal boundary we have to examine their urgently stand whether they are really in threat in there,739.904003s
65, but yeah in that process those refugees should be guaranteed those humanitarian issues like they're eating sand clothing staff also lawful and fair processes,755.419102s
66, but yeah in that process those refugees should be guaranteed those humanitarian issues like their meetings and clothing staff also lawful and fair processes,755.449173s
67, all right overall once again I want to repeat that I'm against accepting the refugees currently in Jeju for entering America and although the Korea Korea has signed a petition the agreement to accept refugees in the past but the nation itself decides how much how many people enter the country and it has done a very well good job mate,790.057470s
68, all right overall once again I want to repeat that against accepting the refugees currently in Jeju for entering America and although the Korea Korea has signed the petition the agreement to accept refugees in the past but the nation itself decides how much how many people enter the country and it has done very well good job men,790.067496s
69, meaning the low number considering its monocultural society and the single race mess of Korea and how it is like,801.723864s
70, I mean bubble number considering its monocultural society and the single race - of Korea and how it is like,801.733890s
71, it is balancing is trying its best to balance the amount of effort and research has gone into the,810.974798s
72, it's balancing trying its best to balance the amount of effort and resources gone into the own citizens compared to the foreigners for entering without prior notice and they're doing its best to balance out and currently the conditions are not on that,826.560055s
73, own citizens compared to the foreigners for entering without prior notice and they're doing its best to balance out and currently the conditions are not that you want to be able to fully take care of the refugees in large amounts so we are not ready yet to accept them in Korea,838.677474s
74, I want to be able to fully take care of the refugees in large amounts so we are not ready yet to accept them in Korea and once the refugee Center they should also accept the consequences that are Korean government has such a limited,848.078740s
75, once the refugees enter they should also accept the consequences that are Korean government has set to Unlimited,848.148902s
76, okay experience is over now,853.982100s
77, Sprint is over now,854.002141s
