,Unnamed: 0,reult/alternative/0/confidence,full_transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,startTime,word,results/channelTag,results/languageCode,reult/reultEndTime,p25,seconds,arousal,valence,happy,angry,nervous,sad,p26,seconds2,arousal2,valence2,happy2,angry2,nervous2,sad2,new_words,p25_trans,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,p26_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans
10,10,0.84681356,,0.91283858,7.1,6.7,from,26,en-us,25.778322,,10.0,2.333,3.0,1.333,1.0,1.333,1.0,,10.0,2.333,3.667,1.667,1.0,1.667,1.0,in Europe and Country like Germany does have more very crisis in,,55.0,2.333,3.0,1.333,1.0,1.333,1.0,,55.0,2.333,4.0,1.333,1.0,1.333,1.0
11,11,0.84681356,,0.72628289,7.7,7.1,Gmail,26,en-us,25.778322,,10.0,2.333,3.0,1.333,1.0,1.333,1.0,,10.0,2.333,3.667,1.667,1.0,1.667,1.0,the refugee problems or issues more than,,60.0,2.333,3.0,1.333,1.0,1.333,1.0,,60.0,2.333,4.0,1.333,1.0,1.333,1.0
12,12,0.84681356,,0.91283858,8.1,7.9,in,26,en-us,25.778322,,10.0,2.333,3.0,1.333,1.0,1.333,1.0,,10.0,2.333,3.667,1.667,1.0,1.667,1.0,"700,000 but in Korean agreement is geez is",,65.0,2.333,3.0,1.333,1.0,1.333,1.0,,65.0,2.333,4.0,1.333,1.0,1.333,1.0
13,13,0.84681356,,0.91283858,8.4,8.1,South,26,en-us,25.778322,,10.0,2.333,3.0,1.333,1.0,1.333,1.0,,10.0,2.333,3.667,1.667,1.0,1.667,1.0,only 550 people so it is the first thing that I think,,70.0,3.0,3.0,1.333,1.0,1.333,1.0,,70.0,2.667,4.0,1.333,1.0,1.667,1.0
14,14,0.84681356,,0.84444094,8.9,8.4,Korea,26,en-us,25.778322,,10.0,2.333,3.0,1.333,1.0,1.333,1.0,,10.0,2.333,3.667,1.667,1.0,1.667,1.0,the Korean government should accept this group of refugees,,75.0,3.0,3.0,1.333,1.0,1.333,1.0,,75.0,2.667,4.0,1.667,1.0,1.667,1.0
15,15,0.84681356,,0.74157768,9.2,8.9,at,26,en-us,25.778322,,10.0,2.333,3.0,1.333,1.0,1.333,1.0,,10.0,2.333,3.667,1.667,1.0,1.667,1.0,okay yeah that,,80.0,3.0,3.0,1.333,1.0,1.333,1.0,,80.0,2.667,4.333,2.0,1.0,1.0,1.0
16,16,0.84681356,,0.91212344,9.5,9.2,Jeju,26,en-us,25.778322,,10.0,2.333,3.0,1.333,1.0,1.333,1.0,,10.0,2.333,3.667,1.667,1.0,1.667,1.0,I agree with you with that okay Korean just side of convention in 1991,,85.0,3.0,3.0,1.333,1.0,1.333,1.0,,85.0,2.667,4.333,2.0,1.0,1.0,1.0
17,17,0.84681356,,0.91283858,10.0,9.5,Islands,26,en-us,25.778322,,10.0,2.333,3.0,1.333,1.0,1.333,1.0,,10.0,2.333,3.667,1.667,1.0,1.667,1.0,but I just think that it's like a special,,90.0,3.0,3.333,1.333,1.0,1.333,1.0,,90.0,2.667,4.667,2.333,1.0,1.0,1.0
18,18,0.84681356,,0.72628289,12.9,12.2,I,26,en-us,25.778322,,15.0,2.333,3.0,1.333,1.0,1.333,1.0,,15.0,2.333,3.667,1.667,1.0,1.667,1.0,case for the Koreans who have like their their bodies the is like with the,,95.0,3.667,3.0,1.333,1.0,1.333,1.0,,95.0,3.0,4.667,2.0,1.0,1.0,1.0
19,19,0.84681356,,0.91283858,13.9,13.6,think,26,en-us,25.778322,,15.0,2.333,3.0,1.333,1.0,1.333,1.0,,15.0,2.333,3.667,1.667,1.0,1.667,1.0,XO phobia sometimes and they're just like care about the conditioned living,,100.0,4.0,3.333,1.333,1.0,1.333,1.0,,100.0,3.0,4.667,1.667,1.0,1.0,1.0
20,20,0.84681356,,0.76050615,14.4,13.9,that,26,en-us,25.778322,,15.0,2.333,3.0,1.333,1.0,1.333,1.0,,15.0,2.333,3.667,1.667,1.0,1.667,1.0,so I think if you think about your population first and there are some so very that,,105.0,3.667,3.0,1.333,1.0,1.333,1.0,,105.0,3.0,4.667,1.667,1.0,1.0,1.0
21,21,0.84681356,,0.89344394,14.9,14.6,is,26,en-us,25.778322,,15.0,2.333,3.0,1.333,1.0,1.333,1.0,,15.0,2.333,3.667,1.667,1.0,1.667,1.0,have or these away that there are more populous proportion of,,110.0,3.667,3.0,1.333,1.0,1.333,1.0,,110.0,3.0,4.667,2.0,1.0,1.0,1.0
22,22,0.84681356,,0.91283858,15.4,15.2,would,26,en-us,25.778322,,15.0,2.333,3.0,1.333,1.0,1.333,1.0,,15.0,2.333,3.667,1.667,1.0,1.667,1.0,Korean population so I just thing that if you just,,115.0,3.667,3.0,1.333,1.0,1.333,1.0,,115.0,3.0,4.667,2.333,1.0,1.0,1.0
23,23,0.84681356,,0.74284482,15.9,15.4,be,26,en-us,25.778322,,15.0,2.333,3.0,1.333,1.0,1.333,1.0,,15.0,2.333,3.667,1.667,1.0,1.667,1.0,do four follow the convention is,,120.0,3.667,3.333,1.333,1.0,1.667,1.0,,120.0,3.667,4.333,2.0,1.0,1.333,1.0
24,24,0.84681356,,0.91283858,16.2,16.0,have,26,en-us,25.778322,,15.0,2.333,3.0,1.333,1.0,1.333,1.0,,15.0,2.333,3.667,1.667,1.0,1.667,1.0,not the best way to be the good just for the country,,125.0,3.667,3.333,1.333,1.0,1.667,1.0,,125.0,3.667,4.333,2.0,1.0,2.333,1.0
25,25,0.84681356,,0.76306415,16.4,16.2,some,26,en-us,25.778322,,15.0,2.333,3.0,1.333,1.0,1.333,1.0,,15.0,2.333,3.667,1.667,1.0,1.667,1.0,but you have to look and take care your place and also it was like,,130.0,3.667,3.333,1.333,1.0,1.667,1.0,,130.0,3.667,4.333,1.667,1.0,2.333,1.0
26,26,0.84681356,,0.91283858,17.0,16.4,positive,26,en-us,25.778322,,15.0,2.333,3.0,1.333,1.0,1.333,1.0,,15.0,2.333,3.667,1.667,1.0,1.667,1.0,if you listen your people first,,135.0,3.333,3.333,1.333,1.0,1.667,1.0,,135.0,3.667,4.333,2.0,1.0,2.333,1.0
27,27,0.84681356,,0.7290765,17.6,17.0,benefits,26,en-us,25.778322,,20.0,2.333,3.0,1.333,1.0,1.333,1.0,,20.0,2.333,3.667,1.333,1.0,1.667,1.0,it will be good so I think it's not good if we accept all,,140.0,3.333,3.0,1.333,1.0,2.0,1.0,,140.0,3.667,4.333,2.0,1.0,2.333,1.0
28,28,0.84681356,,0.85865653,18.8,18.3,if,26,en-us,25.778322,,20.0,2.333,3.0,1.333,1.0,1.333,1.0,,20.0,2.333,3.667,1.333,1.0,1.667,1.0,yemenis gratuities at Jeju Island yeah but,,145.0,3.333,3.0,1.333,1.0,2.0,1.0,,145.0,3.0,3.333,1.333,1.0,2.333,1.0
29,29,0.84681356,,0.73732531,19.0,18.8,the,26,en-us,25.778322,,20.0,2.333,3.0,1.333,1.0,1.333,1.0,,20.0,2.333,3.667,1.333,1.0,1.667,1.0,I think do appropriate of the,,150.0,3.333,3.0,1.333,1.0,2.0,1.0,,150.0,3.0,3.333,1.333,1.0,2.333,1.0
30,30,0.84681356,,0.91283858,19.7,19.0,Korean,26,en-us,25.778322,,20.0,2.333,3.0,1.333,1.0,1.333,1.0,,20.0,2.333,3.667,1.333,1.0,1.667,1.0,refugees in Korean butter with your vested actually is just,,155.0,3.333,3.333,1.667,1.0,2.0,1.0,,155.0,3.0,3.333,1.333,1.0,2.333,1.0
31,31,0.84681356,,0.77023679,20.7,20.0,government,26,en-us,25.778322,,20.0,2.333,3.0,1.333,1.0,1.333,1.0,,20.0,2.333,3.667,1.333,1.0,1.667,1.0,2.40% from 1994 the sin that,,160.0,3.333,3.333,1.667,1.0,2.0,1.0,,160.0,3.0,3.333,1.667,1.0,2.333,1.0
32,32,0.84681356,,0.71129531,21.6,21.1,letter,26,en-us,25.778322,,20.0,2.333,3.0,1.333,1.0,1.333,1.0,,20.0,2.333,3.667,1.333,1.0,1.667,1.0,the first time that Korea and South Korean government except the a refugee and,,165.0,3.333,3.333,1.667,1.0,2.0,1.0,,165.0,3.0,3.333,1.667,1.0,2.333,1.0
33,33,0.84681356,,0.68108612,22.4,21.6,reality,26,en-us,25.778322,,20.0,2.333,3.0,1.333,1.0,1.333,1.0,,20.0,2.333,3.667,1.333,1.0,1.667,1.0,but actually it's fun up to none up until now the,,170.0,3.333,3.333,1.667,1.0,2.333,1.0,,170.0,2.667,3.0,1.333,1.0,2.333,1.0
34,34,0.84681356,,0.91283858,23.6,22.9,into,26,en-us,25.778322,,25.0,2.333,3.0,1.333,1.0,1.333,1.0,,25.0,2.333,3.667,1.333,1.0,1.667,1.0,government also consider walls of the South Korean citizens and,,175.0,3.333,3.333,1.667,1.0,2.333,1.0,,175.0,2.667,3.0,1.333,1.0,2.667,1.0
35,35,0.84681356,,0.77536613,23.7,23.6,the,26,en-us,25.778322,,25.0,2.333,3.0,1.333,1.0,1.333,1.0,,25.0,2.333,3.667,1.333,1.0,1.667,1.0,by that by the consider that they are requirement already,,180.0,3.333,3.333,1.667,1.0,2.333,1.0,,180.0,2.667,3.0,1.333,1.0,2.667,1.0
36,36,0.84681356,,0.91283858,24.1,23.7,country,26,en-us,25.778322,,25.0,2.333,3.0,1.333,1.0,1.333,1.0,,25.0,2.333,3.667,1.333,1.0,1.667,1.0,put their game in citizen I already miss,,185.0,3.333,3.333,1.667,1.0,2.0,1.0,,185.0,3.0,3.333,1.667,1.0,2.0,1.0
37,37,0.84681356,,0.91283858,24.3,24.1,with,26,en-us,25.778322,,25.0,2.333,3.0,1.333,1.0,1.333,1.0,,25.0,2.333,3.667,1.333,1.0,1.667,1.0,traveler or citizen that want to come into Korean have to get some result,,190.0,3.333,3.333,1.667,1.0,2.0,1.0,,190.0,3.0,3.333,1.667,1.0,2.0,1.0
38,38,0.84681356,,0.70640326,24.6,24.3,some,26,en-us,25.778322,,25.0,2.333,3.0,1.333,1.0,1.333,1.0,,25.0,2.333,3.667,1.333,1.0,1.667,1.0,before but so I think this this is a,,195.0,3.333,3.333,1.667,1.0,2.0,1.0,,195.0,2.667,4.0,2.0,1.0,2.0,1.0
39,39,0.84681356,,0.71008772,25.3,24.6,restrictions,26,en-us,25.778322,,25.0,2.333,3.0,1.333,1.0,1.333,1.0,,25.0,2.333,3.667,1.333,1.0,1.667,1.0,slider easiest way for now to deal with this problem,,200.0,3.667,3.667,1.667,1.0,2.333,1.0,,200.0,2.667,4.0,2.0,1.0,2.0,1.0
40,40,0.67115831, and more over than that the Koreans has already decided to un Refugee convention in 1991 22,0.91283858,27.4,26.8,and,26,en-us,41.594105,,25.0,2.333,3.0,1.333,1.0,1.333,1.0,,25.0,2.333,3.667,1.333,1.0,1.667,1.0,and about the signal for beer that you rest I think this stating,,205.0,3.667,3.667,1.667,1.0,2.333,1.0,,205.0,2.667,4.0,2.0,1.0,2.0,1.0
41,41,0.67115831,,0.35210198,28.4,27.9,more,26,en-us,41.594105,,25.0,2.333,3.0,1.333,1.0,1.333,1.0,,25.0,2.333,3.667,1.333,1.0,1.667,1.0,that if Korean want to be in the Lea Archery internationalized Country,,210.0,3.667,3.667,1.667,1.0,2.333,1.0,,210.0,2.333,4.0,2.0,1.0,2.0,1.0
42,42,0.67115831,,0.35210198,28.6,28.4,over,26,en-us,41.594105,,25.0,2.333,3.0,1.333,1.0,1.333,1.0,,25.0,2.333,3.667,1.333,1.0,1.667,1.0,or developed country we have or the government's have to educate the,,215.0,4.0,3.667,1.667,1.0,2.667,1.0,,215.0,2.333,4.0,2.0,1.0,2.0,1.0
43,43,0.67115831,,0.91283858,28.8,28.6,than,26,en-us,41.594105,,25.0,2.333,3.0,1.333,1.0,1.333,1.0,,25.0,2.333,3.667,1.333,1.0,1.667,1.0,currency teaching people how to living in a globalization work,,220.0,4.0,3.667,1.667,1.0,2.667,1.0,,220.0,2.667,4.0,2.0,1.0,2.0,1.0
44,44,0.67115831,,0.65975511,29.1,28.8,that,26,en-us,41.594105,,25.0,2.333,3.0,1.333,1.0,1.333,1.0,,25.0,2.333,3.667,1.333,1.0,1.667,1.0,I just put,,225.0,4.0,3.667,1.667,1.0,2.667,1.0,,225.0,2.667,4.0,2.0,1.0,2.0,1.0
45,45,0.67115831,,0.67874551,29.4,29.1,the,26,en-us,41.594105,,30.0,2.333,3.0,1.333,1.0,1.333,1.0,,30.0,2.333,3.667,1.333,1.0,1.667,1.0,the SS right away sir topics now first,,230.0,4.0,3.667,1.667,1.0,2.667,1.0,,230.0,2.667,3.667,2.0,1.0,2.333,1.0
46,46,0.67115831,,0.8039254,30.1,29.4,Koreans,26,en-us,41.594105,,30.0,2.333,3.0,1.333,1.0,1.333,1.0,,30.0,2.333,3.667,1.333,1.0,1.667,1.0,it's like you say Korean government has put the human to the result,,235.0,4.0,3.667,1.667,1.0,2.667,1.0,,235.0,2.667,3.667,2.0,1.0,2.333,1.0
47,47,0.67115831,,0.91283858,31.1,30.8,has,26,en-us,41.594105,,30.0,2.333,3.0,1.333,1.0,1.333,1.0,,30.0,2.333,3.667,1.333,1.0,1.667,1.0,list but it's like if you have like another country's,,240.0,4.0,3.667,1.667,1.0,2.667,1.0,,240.0,2.667,3.667,2.0,1.0,2.333,1.0
48,48,0.67115831,,0.65975511,31.4,31.1,already,26,en-us,41.594105,,30.0,2.333,3.0,1.333,1.0,1.333,1.0,,30.0,2.333,3.667,1.333,1.0,1.667,1.0,or like a cider just do like this again so it's just like,,245.0,4.0,3.333,1.667,1.0,2.333,1.0,,245.0,2.667,3.667,2.0,1.0,2.333,1.0
49,49,0.67115831,,0.56784654,32.2,31.4,decided,26,en-us,41.594105,,30.0,2.333,3.0,1.333,1.0,1.333,1.0,,30.0,2.333,3.667,1.333,1.0,1.667,1.0,Commander being a refugee yeah it's,,250.0,4.0,3.333,1.667,1.0,2.333,1.0,,250.0,2.667,3.667,2.0,1.0,2.333,1.0
50,50,0.67115831,,0.35210198,32.4,32.2,to,26,en-us,41.594105,,30.0,2.333,3.0,1.333,1.0,1.333,1.0,,30.0,2.333,3.667,1.333,1.0,1.667,1.0,like if some countries just like want to be their equities and comes and do like the yemenis,,255.0,4.0,3.667,1.667,1.0,1.667,1.0,,255.0,2.667,3.667,2.333,1.0,2.333,1.0
51,51,0.67115831,,0.8675108,32.9,32.4,un,26,en-us,41.594105,,30.0,2.333,3.0,1.333,1.0,1.333,1.0,,30.0,2.333,3.667,1.333,1.0,1.667,1.0,as I think that if they just put the country in the list is,,260.0,4.0,3.667,1.667,1.0,1.667,1.0,,260.0,2.667,3.667,2.667,1.0,2.333,1.0
52,52,0.67115831,,0.69266742,33.6,32.9,Refugee,26,en-us,41.594105,,30.0,2.333,3.0,1.333,1.0,1.333,1.0,,30.0,2.333,3.667,1.333,1.0,1.667,1.0,not the best way it was the easiest way that yes but it's not the best one it's like,,265.0,4.0,3.333,1.667,1.0,1.667,1.0,,265.0,3.0,3.667,2.667,1.0,2.333,1.0
53,53,0.67115831,,0.5068832,34.4,33.6,convention,26,en-us,41.594105,,30.0,2.333,3.0,1.333,1.0,1.333,1.0,,30.0,2.333,3.667,1.333,1.0,1.667,1.0,if the there are a lot so the bezel it is like too long,,270.0,4.0,3.333,1.667,1.0,1.667,1.0,,270.0,3.0,3.667,2.0,1.0,2.333,1.0
54,54,0.67115831,,0.35210198,34.7,34.4,in,26,en-us,41.594105,,35.0,2.333,3.0,1.333,1.0,1.333,1.0,,35.0,2.333,3.667,1.333,1.0,1.667,1.0,and it's not good for the image also yeah and to,,275.0,3.333,3.667,1.333,1.0,1.667,1.0,,275.0,2.667,3.0,1.0,1.0,2.333,1.0
55,55,0.67115831,,0.91283858,35.4,34.7,1991,26,en-us,41.594105,,35.0,2.333,3.0,1.333,1.0,1.333,1.0,,35.0,2.333,3.667,1.333,1.0,1.667,1.0,like we don't know like if we,,280.0,2.667,3.667,1.333,1.0,1.333,1.0,,280.0,3.0,3.0,1.0,1.0,2.333,1.0
56,56,0.67115831,,0.91283858,38.2,37.5,22,26,en-us,41.594105,,35.0,2.333,3.0,1.333,1.0,1.333,1.0,,35.0,2.333,3.667,1.333,1.0,1.667,1.0,accept the refugee nothing can guarantee about,,285.0,2.667,3.667,1.333,1.0,1.333,1.0,,285.0,2.667,3.0,1.0,1.0,2.333,1.0
57,57,0.86648917," to approve or to guarantee the status of refugee in the state something that has and also to compare to another country in Europe and Country like Germany does have more very crisis in the refugee problems or issues more than 700,000 but in Korean agreement is",0.91283858,42.8,42.7,to,26,en-us,72.443901,,40.0,2.333,3.0,1.333,1.0,1.333,1.0,,40.0,2.333,3.667,1.333,1.0,1.667,1.0,Korean citizens life security and I think also is like the Privacy also,,290.0,2.667,3.667,1.333,1.0,1.333,1.0,,290.0,2.667,3.0,1.0,1.0,2.333,1.0
58,58,0.86648917,,0.91283858,43.5,42.8,approve,26,en-us,72.443901,,40.0,2.333,3.0,1.333,1.0,1.333,1.0,,40.0,2.333,3.667,1.333,1.0,1.667,1.0,so I think so yeah I also accept that,,295.0,2.667,3.667,1.333,1.0,1.333,1.0,,295.0,2.667,3.667,2.0,1.0,1.667,1.0
59,59,0.86648917,,0.91283858,43.9,43.5,or,26,en-us,72.443901,,40.0,2.333,3.0,1.333,1.0,1.333,1.0,,40.0,2.333,3.667,1.333,1.0,1.667,1.0,for this comment about a researcher is and also the some highlighter,,300.0,2.667,3.667,1.333,1.0,1.333,1.0,,300.0,3.0,3.667,1.667,1.0,1.667,1.0
60,60,0.86648917,,0.91283858,44.8,43.9,to,26,en-us,72.443901,,40.0,2.333,3.0,1.333,1.0,1.333,1.0,,40.0,2.333,3.667,1.333,1.0,1.667,1.0,for receive other citizenship of South Korea and but I think,,305.0,3.0,3.667,1.333,1.0,1.333,1.0,,305.0,2.667,3.667,1.667,1.0,1.667,1.0
61,61,0.86648917,,0.91283858,46.1,45.7,guarantee,26,en-us,72.443901,,45.0,2.333,3.0,1.333,1.0,1.333,1.0,,45.0,2.333,3.667,1.333,1.0,1.667,1.0,Florida to South Korea to policy of accepting a refugee is,,310.0,3.333,3.667,1.0,1.0,2.0,1.0,,310.0,3.0,3.667,1.667,1.0,1.667,1.0
62,62,0.86648917,,0.91283858,46.3,46.1,the,26,en-us,72.443901,,45.0,2.333,3.0,1.333,1.0,1.333,1.0,,45.0,2.333,3.667,1.333,1.0,1.667,1.0,on is also already rigorous for that because of the,,315.0,3.333,3.667,1.0,1.0,2.0,1.0,,315.0,3.333,3.667,1.667,1.0,2.0,1.0
63,63,0.86648917,,0.91283858,46.8,46.3,status,26,en-us,72.443901,,45.0,2.333,3.0,1.333,1.0,1.333,1.0,,45.0,2.333,3.667,1.333,1.0,1.667,1.0,rest of accepting it just only 2%,,320.0,3.333,3.667,1.0,1.0,1.667,1.0,,320.0,3.0,3.667,1.667,1.0,2.0,1.0
64,64,0.86648917,,0.91283858,46.9,46.8,of,26,en-us,72.443901,,45.0,2.333,3.0,1.333,1.0,1.333,1.0,,45.0,2.333,3.667,1.333,1.0,1.667,1.0,from there over ten thousand Thirty thousands of people,,325.0,3.333,3.667,1.333,1.0,1.667,1.0,,325.0,3.667,4.0,1.667,1.0,1.333,1.0
65,65,0.86648917,,0.91283858,47.6,46.9,refugee,26,en-us,72.443901,,45.0,2.333,3.0,1.333,1.0,1.333,1.0,,45.0,2.333,3.667,1.333,1.0,1.667,1.0,to apply for energy but cannot expect but get the rejection from that,,330.0,3.333,3.667,1.333,1.0,1.667,1.0,,330.0,3.667,4.0,1.667,1.0,1.333,1.0
66,66,0.86648917,,0.91283858,49.0,48.8,in,26,en-us,72.443901,,45.0,2.333,3.0,1.333,1.0,1.333,1.0,,45.0,2.333,3.667,1.333,1.0,1.667,1.0,and by racing there are there are some requests of petition from the,,335.0,3.0,3.667,1.0,1.0,1.667,1.0,,335.0,4.0,4.0,1.667,1.0,1.333,1.0
67,67,0.86648917,,0.91283858,49.0,49.0,the,26,en-us,72.443901,,45.0,2.333,3.0,1.333,1.0,1.333,1.0,,45.0,2.333,3.667,1.333,1.0,1.667,1.0,citizens of to the Blue House of Korean and,,340.0,3.333,3.667,1.0,1.0,1.667,1.0,,340.0,3.667,3.667,2.0,1.0,1.333,1.0
68,68,0.86648917,,0.91283858,49.6,49.0,state,26,en-us,72.443901,,45.0,2.333,3.0,1.333,1.0,1.333,1.0,,45.0,2.333,3.667,1.333,1.0,1.667,1.0,I think the government now considering that to give,,345.0,3.333,3.667,1.0,1.0,1.667,1.0,,345.0,3.667,3.667,1.667,1.0,1.333,1.0
69,69,0.86648917,,0.91283858,50.4,50.0,something,26,en-us,72.443901,,45.0,2.333,3.0,1.333,1.0,1.333,1.0,,45.0,2.333,3.667,1.333,1.0,1.667,1.0,more deliberate assess or for get for giving their,,350.0,3.333,4.0,1.333,1.0,1.667,1.0,,350.0,3.667,3.667,2.0,1.0,1.333,1.0
70,70,0.86648917,,0.91283858,50.6,50.4,that,26,en-us,72.443901,,50.0,2.333,3.0,1.333,1.0,1.333,1.0,,50.0,2.667,3.667,1.333,1.0,1.667,1.0,refugees data to the other nations nationality,,355.0,3.333,4.0,1.333,1.0,1.667,1.0,,355.0,3.667,3.667,1.667,1.0,1.333,1.0
71,71,0.86648917,,0.91283858,51.1,50.6,has,26,en-us,72.443901,,50.0,2.333,3.0,1.333,1.0,1.333,1.0,,50.0,2.667,3.667,1.333,1.0,1.667,1.0,and also they this,,360.0,3.333,4.0,1.333,1.0,1.667,1.0,,360.0,3.667,3.667,1.667,1.0,1.333,1.0
72,72,0.86648917,,0.91283858,51.5,51.3,and,26,en-us,72.443901,,50.0,2.333,3.0,1.333,1.0,1.333,1.0,,50.0,2.667,3.667,1.333,1.0,1.667,1.0,is some car like they call hit or humanitarians humanitarian visas,,365.0,3.667,2.667,1.0,1.667,1.667,1.0,,365.0,2.667,3.333,1.333,1.0,1.667,1.0
73,73,0.86648917,,0.91283858,52.2,51.5,also,26,en-us,72.443901,,50.0,2.333,3.0,1.333,1.0,1.333,1.0,,50.0,2.667,3.667,1.333,1.0,1.667,1.0,that the government only give this result to the refugee,,370.0,3.667,2.667,1.0,1.667,1.667,1.0,,370.0,3.0,3.333,1.333,1.0,1.667,1.0
74,74,0.86648917,,0.91283858,53.3,53.1,to,26,en-us,72.443901,,50.0,2.333,3.0,1.333,1.0,1.333,1.0,,50.0,2.667,3.667,1.333,1.0,1.667,1.0,or 31 years to guarantee that when their circumstances so situation the in their their,,375.0,3.667,2.667,1.0,1.667,1.667,1.0,,375.0,2.667,3.333,1.333,1.0,1.667,1.0
75,75,0.86648917,,0.91283858,53.9,53.3,compare,26,en-us,72.443901,,50.0,2.333,3.0,1.333,1.0,1.333,1.0,,50.0,2.667,3.667,1.333,1.0,1.667,1.0,home country is becoming Wheels good get better and they can,,380.0,3.667,2.667,1.0,1.667,1.667,1.0,,380.0,2.667,3.333,1.333,1.0,1.667,1.0
76,76,0.86648917,,0.91283858,54.3,53.9,to,26,en-us,72.443901,,50.0,2.333,3.0,1.333,1.0,1.333,1.0,,50.0,2.667,3.667,1.333,1.0,1.667,1.0,guarantee that they will lead career right,,385.0,3.667,2.667,1.0,1.667,1.667,1.0,,385.0,2.667,3.333,1.333,1.0,1.667,1.0
77,77,0.86648917,,0.91283858,55.0,54.4,another,26,en-us,72.443901,,50.0,2.333,3.0,1.333,1.0,1.333,1.0,,50.0,2.667,3.667,1.333,1.0,1.667,1.0,that I think like it's just like 2% that Korean,,390.0,3.667,2.667,1.0,1.667,1.667,1.0,,390.0,2.667,3.333,1.333,1.0,1.667,1.0
