new_words,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans
turmoil it cannot take responsibility for these people therefore,150.0,3.0,3.333,1.333,1.0,1.667,1.0,150.0,2.667,2.667,1.667,1.0,1.667,1.0
they're more reluctant to accepting these people so it's hard to say is,155.0,3.0,3.333,1.333,1.0,1.667,1.0,155.0,2.667,2.667,1.333,1.0,1.667,1.0
racist or xenophobia data to and this,160.0,3.333,3.0,1.333,1.0,1.667,1.0,160.0,2.667,2.667,1.333,1.0,1.667,1.0
there's this General lack of trust of the Korean government especially for the young,165.0,2.667,3.333,1.333,1.0,1.667,1.0,165.0,3.0,2.667,1.333,1.0,1.667,1.0
adults that the Korean government is not particular of its own citizens,170.0,3.0,3.333,1.333,1.0,1.667,1.0,170.0,3.0,3.0,1.333,1.0,1.333,1.0
so it should pay more attention and make sure that it does not own citizens,175.0,3.0,3.333,1.333,1.0,1.667,1.0,175.0,3.0,3.0,1.333,1.0,1.333,1.0
don't feel that the treatment towards refugees are unfair compared to the people,180.0,3.0,3.333,1.333,1.0,1.667,1.0,180.0,3.0,3.0,1.333,1.0,1.333,1.0
who have the nationality and will have citizenship of the country already,185.0,2.667,3.333,1.333,1.0,1.667,1.0,185.0,3.0,3.0,1.333,1.0,1.333,1.0
first,190.0,2.667,3.333,1.333,1.0,1.667,1.0,190.0,3.0,2.667,1.333,1.0,1.333,1.0
of all you mentioned that,195.0,3.333,3.0,1.333,1.0,1.667,1.0,195.0,3.0,2.667,1.333,1.0,1.333,1.0
s okay so well you,200.0,3.0,3.0,1.333,1.0,1.667,1.0,200.0,3.0,2.667,1.333,1.0,1.333,1.0
mentioned that a lot of Korean citizens are against it and as a,205.0,3.0,3.0,1.333,1.0,1.667,1.0,205.0,3.0,2.667,1.333,1.0,1.333,1.0
as an Evidence you showed the petition that number of the petitioners in foreign,210.0,3.333,3.0,1.333,1.0,1.667,1.0,210.0,3.0,2.667,1.333,1.0,1.333,1.0
against these refugees but I believe this issue is not,215.0,2.667,3.333,1.333,1.0,1.667,1.0,215.0,3.0,2.667,1.333,1.0,1.333,1.0
really a democratic issue that can be decided upon the popular Theory votes it is the legal,220.0,2.667,3.333,1.333,1.0,1.667,1.0,220.0,3.333,3.0,1.333,1.0,1.333,1.0
right to be examined under a fair and Justice law because it is a law we,225.0,3.0,3.333,1.333,1.0,1.667,1.0,225.0,3.333,3.0,1.333,1.0,1.333,1.0
I mean it is also kind of an International Love Me Korea sign like several tens of years,230.0,3.0,3.333,1.333,1.0,1.667,1.0,230.0,3.0,3.0,1.333,1.0,1.333,1.0
ago and we promise to the international society that we are going,235.0,3.0,3.333,1.333,1.0,1.667,1.0,235.0,3.0,2.667,1.333,1.0,1.333,1.0
to accept the refugees in this or that cases so well I do,240.0,2.667,3.333,1.333,1.0,1.667,1.0,240.0,3.0,2.667,1.333,1.0,1.333,1.0
understand a lot of people are against the well there are a lot of like emotional or,245.0,2.667,3.333,1.333,1.0,1.667,1.0,245.0,3.0,3.0,1.333,1.0,1.333,1.0
emotional or personal personal feelings,250.0,3.0,3.333,1.333,1.0,2.0,1.0,250.0,3.333,3.333,1.333,1.0,1.333,1.0
against these refugees or in general against work for foreigners coming in,255.0,2.333,3.333,1.667,1.0,1.333,1.0,255.0,3.333,3.333,1.333,1.0,1.333,1.0
the country but well I think that's not really the issue in this case and,260.0,2.667,3.0,1.667,1.0,1.333,1.0,260.0,3.667,3.333,1.333,1.0,1.333,1.0
and also also well you,265.0,3.0,3.0,1.333,1.0,1.667,1.0,265.0,3.667,3.333,1.333,1.0,1.333,1.0
also mentioned that they're already legal legally residing two million foreign people,270.0,2.667,3.0,1.333,1.0,1.333,1.0,270.0,3.667,3.333,1.333,1.0,1.667,1.0
in South Korea and what I want what I just want to mention is that they're not,275.0,2.667,3.0,1.333,1.0,1.333,1.0,275.0,3.667,3.333,1.333,1.0,1.333,1.0
illegal immigrants are just under a process so well it's not really,280.0,2.667,3.0,1.333,1.0,1.333,1.0,280.0,3.667,3.333,1.333,1.0,1.333,1.0
it's really hard to say very illegal he's just in the in between that process in between those,285.0,2.667,3.0,1.333,1.0,1.333,1.0,285.0,3.667,3.333,1.333,1.0,1.333,1.0
fetuses and well you also mentioned,290.0,2.667,2.667,1.333,1.0,1.333,1.0,290.0,3.333,3.333,1.333,1.0,1.333,1.0
about the responsibilities that the South Korea doesn't hold the responsibility to take care of this,295.0,2.667,3.0,1.333,1.0,1.333,1.0,295.0,3.667,3.333,1.333,1.0,1.333,1.0
refugees but well let's go back to the represent convention,300.0,2.667,3.0,1.333,1.0,1.333,1.0,300.0,3.333,3.333,1.333,1.0,1.333,1.0
and we do have a responsibility for that right,305.0,2.667,3.0,1.333,1.0,1.333,1.0,305.0,3.667,3.333,1.333,1.0,1.333,1.0
so repeatedly you've mentioned the law but the agreement,310.0,3.0,3.0,1.333,1.0,1.333,1.0,310.0,3.667,3.333,1.333,1.0,1.667,1.0
that tree has signed impact in 1994 which is more than 20 years ago,315.0,3.0,2.667,1.333,1.0,1.333,1.0,315.0,3.667,3.333,1.333,1.0,1.333,1.0
and what we but I want to point out is that if this law,320.0,3.0,3.0,1.333,1.0,1.333,1.0,320.0,3.333,3.333,1.333,1.0,1.333,1.0
signed and if this was supposed to become an issue the government should not be responsible,325.0,3.0,3.0,1.333,1.0,1.333,1.0,325.0,3.333,3.333,1.333,1.0,1.333,1.0
to educate the people prior to this,330.0,3.333,3.0,1.333,1.0,1.333,1.0,330.0,3.667,3.333,1.333,1.0,1.667,1.0
disagreement happening so at this point people are not ready to accept the people,335.0,2.667,2.667,1.333,1.0,1.333,1.0,335.0,3.333,3.333,1.333,1.0,1.667,1.0
although the government has taken the choice to sign the agreement the,340.0,2.667,3.333,1.333,1.0,1.333,1.0,340.0,3.333,3.333,1.333,1.0,2.0,1.0
general population was not aware and the failure of the government to YouTube operation educate the,345.0,3.0,3.0,1.333,1.0,1.333,1.0,345.0,3.0,3.333,1.333,1.0,1.333,1.0
population does not give it the right,350.0,3.333,3.0,1.333,1.0,1.333,1.0,350.0,3.0,3.333,1.333,1.0,1.333,1.0
to just go forward and do what they have done in the past but the young gender generation of we're not,355.0,3.0,2.667,1.333,1.0,1.333,1.0,355.0,3.333,3.333,1.333,1.0,1.667,1.0
aware of this issue and since back in 1994 over,360.0,3.0,2.667,1.333,1.0,1.333,1.0,360.0,3.333,3.0,1.333,1.0,1.667,1.0
"33,000 refugees had applied but only 2.4 percent",365.0,3.0,2.667,1.333,1.0,1.333,1.0,365.0,3.333,3.0,1.333,1.0,1.667,1.0
were accepted and right now the if the numbers were maintained,370.0,3.0,3.0,1.333,1.0,1.333,1.0,370.0,3.333,3.333,1.0,1.0,1.667,1.0
there was no problem in maintaining that particular acceptance rate if,375.0,3.333,3.0,1.333,1.0,1.667,1.0,375.0,3.0,3.0,1.0,1.333,1.333,1.333
he applied that acceptance rate to the current situation there should be no more problem although there's a sudden,380.0,3.0,3.0,1.333,1.0,1.667,1.0,380.0,3.0,3.0,1.0,1.333,1.333,1.333
influx or so that incoming of the large number at this year,385.0,3.0,3.0,1.333,1.0,1.667,1.0,385.0,3.0,3.0,1.0,1.0,1.333,1.0
last year we cannot accept more,390.0,3.0,3.0,1.333,1.0,1.667,1.0,390.0,3.0,3.0,1.0,1.0,1.333,1.0
than what he had done previously without a safe angry life,395.0,2.667,3.0,1.333,1.0,1.667,1.0,395.0,3.0,3.0,1.0,1.0,1.333,1.0
all,400.0,3.0,3.0,1.333,1.0,1.667,1.0,400.0,3.0,3.0,1.0,1.0,1.333,1.0
right,405.0,3.0,3.0,1.333,1.0,1.667,1.0,405.0,3.0,3.0,1.0,1.0,1.333,1.0
so well yeah I do,410.0,3.0,3.0,1.333,1.0,1.667,1.0,410.0,3.0,3.0,1.0,1.0,1.333,1.0
agree we do in in a sense that since we have already signed their confession,415.0,3.333,3.0,1.333,1.0,1.667,1.0,415.0,3.0,3.0,1.0,1.0,1.333,1.0
the government holds the responsibility to educate at least people,420.0,3.667,3.0,1.333,1.0,1.667,1.0,420.0,3.0,3.0,1.0,1.0,1.333,1.0
about these conventions and are the country's responsibility International,425.0,3.667,3.0,1.333,1.0,1.667,1.0,425.0,3.0,3.333,1.0,1.0,1.333,1.0
Society about refugees yeah I mean because because government,430.0,3.333,3.0,1.333,1.0,1.667,1.0,430.0,3.0,3.333,1.0,1.0,1.333,1.0
lacks that I think that this kind of problem happens inside yeah well besides,435.0,3.667,3.0,1.333,1.0,1.667,1.0,435.0,3.0,3.0,1.0,1.0,1.333,1.0
that you mentioned about rate,440.0,3.0,3.0,1.333,1.0,1.667,1.0,440.0,3.0,3.0,1.0,1.0,1.333,1.0
of the two point two point four percent of the acceptance rate well I want to,445.0,3.0,3.0,1.333,1.0,1.667,1.0,445.0,2.667,3.0,1.0,1.0,1.333,1.0
mention a little bit different view point of this,450.0,3.333,3.0,1.333,1.0,1.667,1.0,450.0,3.0,3.0,1.0,1.0,1.333,1.0
well you said that it is really irregular,455.0,3.333,3.0,1.333,1.0,1.667,1.0,455.0,3.0,3.333,1.0,1.0,1.333,1.0
death sudden influx of Romanian refugees in 2000 wait like 18 was really,460.0,3.333,3.0,1.333,1.0,1.667,1.0,460.0,3.0,3.333,1.0,1.0,1.333,1.0
an irregular but well in general refugees don't,465.0,3.333,3.0,1.333,1.0,1.667,1.0,465.0,3.0,2.667,1.0,1.0,1.333,1.0
have a choice of whether they want to go this country or that country just have an,470.0,3.333,3.333,1.667,1.0,1.667,1.0,470.0,3.0,2.667,1.0,1.0,1.333,1.0
urge to escape their country and usually in that process they apply for the contactable,475.0,2.667,3.0,1.667,1.0,1.333,1.0,475.0,3.0,3.0,1.0,1.0,2.0,1.0
curse and the book wasn't just a signpost okay I'll get this money and you just go that,480.0,2.333,3.0,1.333,1.0,1.0,1.0,480.0,2.667,3.0,1.0,1.0,2.0,1.0
country so well it's not really their choices of arriving to judge you Allen and,485.0,2.667,3.0,1.333,1.0,1.0,1.0,485.0,3.0,3.0,1.0,1.0,1.667,1.0
in that case we do have to consider the humanitarian and their Refugee status and,490.0,2.667,3.0,1.333,1.0,1.0,1.0,490.0,3.0,3.0,1.0,1.0,1.667,1.0
Refugee status legally and lawfully in South Korea,495.0,2.667,3.0,1.333,1.0,1.333,1.0,495.0,3.0,3.0,1.0,1.0,1.667,1.0
so,500.0,2.667,3.0,1.333,1.0,1.333,1.0,500.0,3.0,3.0,1.0,1.0,1.667,1.0
once again the,505.0,2.667,3.0,1.333,1.0,1.333,1.0,505.0,3.0,3.0,1.0,1.0,2.0,1.0
we repeat the point that there was a sudden increase of from 41,510.0,2.333,3.0,1.333,1.0,1.333,1.0,510.0,3.0,3.0,1.0,1.0,1.667,1.0
people to over 500 people refugees suddenly coming to Korea,515.0,2.333,3.0,1.333,1.0,1.333,1.0,515.0,3.0,3.0,1.0,1.0,1.667,1.0
although we have maintained a very low make the acceptance rate and the Brokers,520.0,2.667,3.333,1.333,1.0,1.333,1.0,520.0,3.0,3.0,1.0,1.0,1.667,1.0
should have been aware of that however they did not take responsibility in your in your,525.0,2.667,2.667,1.333,1.0,1.333,1.0,525.0,3.0,3.0,1.0,1.0,1.667,1.0
case according to what you mentioned so it's these people don't have,530.0,2.667,3.0,1.333,1.0,1.333,1.0,530.0,3.0,3.0,1.0,1.0,2.0,1.0
a choice but so does Korea Korea it's not ready,535.0,2.667,3.0,1.333,1.0,1.333,1.0,535.0,3.0,3.333,1.0,1.0,2.0,1.0
for accepting me more than two point four percent at the moment because currently again once again we,540.0,3.0,3.0,1.333,1.0,1.333,1.0,540.0,3.0,3.0,1.0,1.0,1.667,1.0
have not had strict policies about higher acceptance rates or in case,545.0,3.0,3.0,1.333,1.0,1.333,1.0,545.0,2.667,3.0,1.0,1.0,1.667,1.0
of sudden a incoming of a large number of people in the general,550.0,3.0,3.0,1.333,1.0,1.333,1.0,550.0,3.333,3.333,1.0,1.0,1.667,1.0
population was not aware,555.0,3.0,3.0,1.333,1.0,1.333,1.0,555.0,3.0,3.333,1.333,1.0,1.667,1.0
we are doing everything that is legal,560.0,3.0,3.333,1.333,1.0,1.667,1.0,560.0,3.333,3.333,1.333,1.0,1.667,1.0
in terms of examining the people and making sure that the right people,565.0,3.0,3.333,1.333,1.0,1.333,1.0,565.0,3.333,3.333,1.333,1.0,1.667,1.0
but you cannot say that the attitude of unpreparedness,570.0,3.0,3.333,1.333,1.0,1.333,1.0,570.0,3.333,3.333,1.333,1.0,1.667,1.0
it's wrong and that this is the natural reaction of the people in Korea,575.0,3.0,3.333,1.333,1.0,1.333,1.0,575.0,3.333,3.333,1.333,1.0,1.667,1.0
you have to accept that I think,580.0,3.0,3.333,1.333,1.0,1.667,1.0,580.0,3.0,3.333,1.667,1.0,1.333,1.0
someone here are you,585.0,3.333,3.0,1.333,1.0,2.0,1.0,585.0,2.667,3.0,1.333,1.0,1.333,1.0
okay,590.0,3.333,3.0,1.333,1.0,2.0,1.0,590.0,3.0,3.0,1.333,1.0,1.333,1.0
so,595.0,3.333,3.0,1.333,1.0,1.667,1.0,595.0,3.0,3.0,1.333,1.0,1.333,1.0
well since this is my final remarks I,600.0,3.333,3.0,1.333,1.0,1.667,1.0,600.0,3.0,3.0,1.333,1.0,1.333,1.0
just want to mention it briefly about the whole argument of myself so I do,605.0,3.333,3.0,1.333,1.0,1.667,1.0,605.0,3.0,3.333,1.333,1.0,1.333,1.0
think that we have to accept more I mean at least in this case you have to,610.0,3.333,3.0,1.333,1.0,1.667,1.0,610.0,2.667,3.333,1.333,1.0,1.333,1.0
accept or after the thorough examination we have to accept this Romanian refugees arrived in Jeju Island,615.0,3.333,3.0,1.333,1.0,1.667,1.0,615.0,3.0,3.0,1.333,1.0,1.333,1.0
and well of course as I mentioned over and,620.0,3.333,3.0,1.333,1.0,1.667,1.0,620.0,3.0,3.333,1.333,1.0,1.333,1.0
over again it's all based on Refugee Convention as we have signed in 1994,625.0,3.333,3.0,1.333,1.0,1.667,1.0,625.0,3.0,3.333,1.333,1.0,1.333,1.0
it is our promise to the international Society at that we are going to accept the refugees,630.0,3.333,3.0,1.333,1.0,1.667,1.0,630.0,3.0,2.667,1.333,1.0,1.333,1.0
then it is also it's not really one-sided it's intervene a fishery for example if something happens,635.0,3.333,3.0,1.333,1.0,1.667,1.0,635.0,3.0,2.667,1.333,1.0,1.333,1.0
in Korea and if Korean people is case South Korea for,640.0,3.0,3.0,1.333,1.0,1.667,1.0,640.0,3.0,2.667,1.333,1.0,1.333,1.0
areas of different reasons about the threats well we redo,645.0,3.0,3.0,1.333,1.0,2.0,1.0,645.0,3.0,2.667,1.333,1.0,1.333,1.0
it's packed that other nations who scientists fashion except ourselves,650.0,2.667,3.0,1.333,1.0,2.0,1.0,650.0,3.0,2.667,1.333,1.0,1.333,1.0
as a refugee and just like we may accept,655.0,2.667,3.0,1.333,1.0,2.0,1.0,655.0,3.0,2.667,1.333,1.0,1.333,1.0
this your minion work which is right now in the southern coast of 2018 so yeah,660.0,3.333,3.333,1.333,1.0,2.0,1.0,660.0,3.0,2.667,1.333,1.0,1.333,1.0
I do urge them you have to assign more and more research has to this Romanian refugees at least,665.0,3.0,3.333,1.333,1.0,1.667,1.0,665.0,3.0,2.667,1.333,1.0,1.333,1.0
and of course it should be all based on the legal legal boundary we have to,670.0,3.333,3.333,1.333,1.0,1.667,1.0,670.0,3.0,3.0,1.333,1.0,1.333,1.0
examine their urgent needs and whether they are really in threat in there,675.0,3.0,3.0,1.333,1.0,1.667,1.0,675.0,3.0,2.667,1.333,1.0,1.333,1.0
but yeah in that process those refugees,680.0,2.667,3.0,1.333,1.0,1.667,1.0,680.0,3.0,3.0,1.667,1.0,1.333,1.0
should be guaranteed those humanitarian issues like they're eating sand clothing,685.0,3.0,3.0,1.333,1.0,1.667,1.0,685.0,3.333,3.0,1.667,1.0,1.333,1.0
staff also lawful and fair processes,690.0,3.0,3.0,1.333,1.0,1.667,1.0,690.0,3.0,3.0,1.333,1.0,1.667,1.0
all,695.0,2.667,3.333,1.333,1.0,1.333,1.0,695.0,3.0,3.0,1.333,1.0,1.667,1.0
right overall once again I want to repeat that I'm,700.0,2.667,3.0,1.333,1.0,1.333,1.0,700.0,3.333,3.333,1.667,1.0,1.667,1.0
against accepting the refugees currently in Jeju for entering America,705.0,2.667,3.0,1.333,1.0,1.333,1.0,705.0,3.333,3.0,1.667,1.0,1.667,1.0
and although the Korea Korea has signed a petition,710.0,2.667,3.0,1.333,1.0,1.333,1.0,710.0,3.667,3.0,1.667,1.0,1.667,1.0
the agreement to accept refugees in the past but,715.0,2.333,3.0,1.333,1.0,1.333,1.0,715.0,3.333,3.0,1.667,1.0,1.667,1.0
the nation itself decides how much how many people enter the country,720.0,2.333,3.0,1.333,1.0,1.333,1.0,720.0,3.333,3.0,1.667,1.0,1.667,1.0
and it has done a very well good job mate meaning the low number considering,725.0,2.333,3.0,1.333,1.0,1.333,1.0,725.0,3.333,3.0,1.667,1.0,1.667,1.0
its monocultural society and the single race mess of Korea,730.0,2.667,3.0,1.333,1.0,1.333,1.0,730.0,3.333,3.0,1.667,1.0,1.667,1.0
and how it is like,735.0,2.667,3.0,1.333,1.0,1.333,1.0,735.0,3.333,3.0,1.667,1.0,1.333,1.0
it is balancing is trying its best to balance the amount of,740.0,2.333,3.333,1.333,1.0,1.333,1.0,740.0,3.333,3.0,1.667,1.0,1.333,1.0
effort and research has gone into the it's balancing trying its best to balance the amount of effort and resources gone into the own citizens compared,745.0,2.667,3.333,1.333,1.0,1.333,1.0,745.0,3.333,3.0,1.667,1.0,1.333,1.0
to the foreigners for entering without prior notice,750.0,2.0,3.0,1.333,1.0,1.333,1.0,750.0,3.333,3.0,1.667,1.0,1.333,1.0
and they're doing its best to balance out and currently the conditions,755.0,2.0,3.0,1.333,1.0,1.333,1.0,755.0,3.0,3.0,1.667,1.0,1.333,1.0
are not on that own citizens compared to the foreigners for entering without prior notice and they're doing its best to balance out and currently the conditions are not that you want to be able to,760.0,2.333,3.0,1.333,1.0,1.333,1.0,760.0,3.0,3.0,1.667,1.0,1.333,1.0
fully take care of the refugees in large amounts so we are not ready yet to,765.0,2.0,3.0,1.333,1.0,1.333,1.0,765.0,3.333,3.0,1.667,1.0,1.333,1.0
accept them in Korea I want to be able to fully take care of the refugees in large amounts so we are not ready yet to accept them in Korea and once the refugee Center they,770.0,2.667,3.0,1.333,1.0,1.333,1.0,770.0,3.333,3.0,1.667,1.0,1.333,1.0
should also accept the consequences that are Korean government has such a,775.0,2.667,3.0,1.333,1.0,1.0,1.0,775.0,3.0,3.0,1.667,1.0,1.333,1.0
limited okay experience is over,780.0,2.667,3.0,1.333,1.0,1.0,1.0,780.0,3.333,3.0,1.667,1.0,1.333,1.0
okay so the reason why she's just drove for,5.0,1.667,3.0,1.333,1.667,2.0,1.0,5.0,2.667,3.667,1.333,1.333,2.333,1.0
accepting these refugees because I was also and us before and then,10.0,1.667,3.0,1.333,1.667,2.0,1.0,10.0,2.667,3.667,1.333,1.333,2.667,1.0
you know even even us it's one of the country that says a lot of refugees from other countries,15.0,1.667,3.0,1.333,1.667,2.0,1.0,15.0,3.0,4.0,1.667,1.333,2.333,1.0
than as a foreigner stare like there I was in a,20.0,1.667,3.0,1.333,1.667,2.0,1.0,20.0,3.0,4.0,1.333,1.333,2.667,1.0
university called pencil pencil and then there are a lot of,25.0,1.667,2.667,1.333,1.667,2.0,1.0,25.0,3.0,3.667,1.333,1.333,2.667,1.0
international students and there are a lot of there were a lot of friends who,30.0,2.0,2.333,1.0,1.333,2.0,1.0,30.0,2.667,3.667,1.333,1.333,2.667,1.0
are from like those Arab or like near Arab countries,35.0,2.333,2.333,1.0,1.333,2.0,1.0,35.0,3.0,3.667,1.333,1.333,2.667,1.0
and see like they have a,40.0,2.0,2.333,1.0,1.333,2.0,1.0,40.0,3.0,3.667,1.333,1.333,2.667,1.0
lot of issues about getting B's as and getting deported from the country,45.0,2.0,2.333,1.0,1.333,2.0,1.0,45.0,2.667,3.333,1.333,1.333,2.667,1.333
that was the beginning of this empathy,50.0,2.667,2.0,1.0,1.667,2.0,1.0,50.0,2.667,3.333,1.333,1.333,2.667,1.333
about this issue,55.0,2.667,2.0,1.0,1.667,2.0,1.0,55.0,2.667,3.333,1.333,1.333,2.667,1.333
the painting is that not accepting all these refugees,60.0,2.333,2.0,1.0,1.667,2.0,1.0,60.0,3.0,3.0,1.333,1.333,2.667,1.333
of just because they are you know there are a lot of issues like safety,65.0,2.667,2.0,1.0,1.667,2.0,1.0,65.0,3.0,2.667,1.333,1.0,2.667,1.333
issues or or maybe like economic problems,70.0,2.333,2.0,1.0,1.667,2.0,1.0,70.0,2.667,2.667,1.333,1.0,2.667,1.333
it's not good to generalize this people in,75.0,2.333,2.0,1.0,1.667,2.0,1.0,75.0,3.0,2.667,1.333,1.0,2.667,1.333
some way,80.0,2.667,2.0,1.667,1.667,1.667,1.0,80.0,3.0,2.667,1.333,1.0,2.667,1.333
yeah so that's kind of Baseline,85.0,2.667,2.0,1.667,1.667,1.667,1.0,85.0,3.0,3.0,1.667,1.0,2.667,1.0
begin to not generalize the certain people,90.0,2.667,2.0,1.667,1.667,1.667,1.0,90.0,3.333,2.667,1.333,1.0,2.667,1.333
hey so,95.0,2.667,2.0,1.667,1.667,1.667,1.0,95.0,3.0,2.667,1.333,1.0,2.667,1.333
I'm against something is Emily refugees in Korea,100.0,2.667,2.0,1.667,1.667,1.667,1.0,100.0,3.0,2.667,1.333,1.0,2.667,1.333
generally speaking,105.0,3.0,2.0,1.667,1.667,1.667,1.0,105.0,3.0,2.667,1.333,1.0,2.667,1.333
these refugees the refugee by,110.0,3.0,3.333,1.667,2.0,2.0,1.0,110.0,2.0,3.333,2.0,1.0,1.333,1.0
the meaning of refugee is that they have some problems in their country they,115.0,3.667,3.333,1.667,2.0,2.0,1.0,115.0,2.333,3.333,2.0,1.0,1.333,1.0
are endangered by certain issues related to their,120.0,3.0,3.333,1.667,2.0,2.0,1.0,120.0,2.333,3.333,2.0,1.0,1.667,1.0
religious or some political issues and these,125.0,3.667,3.333,1.667,2.0,2.0,1.0,125.0,2.333,3.333,2.0,1.0,1.333,1.0
yemenite yemeni refugees who came into,130.0,3.667,3.333,1.667,2.0,2.0,1.0,130.0,2.333,3.333,2.0,1.0,1.333,1.0
Jeju Island are there,135.0,3.667,3.333,1.667,2.0,2.0,1.0,135.0,2.333,3.333,2.0,1.0,1.333,1.0
are no money not clear evidence why they came here like,140.0,3.667,3.333,1.667,2.0,2.0,1.0,140.0,2.333,3.333,2.0,1.0,1.333,1.0
we speculate that majority have come to Korea for just,145.0,3.667,3.333,1.667,2.0,2.0,1.0,145.0,2.333,3.333,2.0,1.0,1.333,1.0
for work and they don't they didn't come,150.0,3.667,3.333,1.667,2.0,2.333,1.0,150.0,2.333,3.333,2.0,1.0,1.333,1.0
as general,155.0,3.333,3.333,1.667,1.667,2.333,1.0,155.0,2.333,3.333,2.0,1.0,1.333,1.0
legitimate route Korea whether they chose to complicate their come here as,160.0,3.333,3.333,1.667,1.667,2.333,1.0,160.0,2.0,3.333,2.0,1.0,1.333,1.0
