,results/alternatives/0/transcript,results/resultEndTime
37, well first off I in my opinion people who actually like / take part in sort of like protest or people who have really sort of extreme stance against like foreigners and they don't really have like Justified reason or like Logic for that so I'm sorry for that but what well and I think accepting them for their safety and all that is acceptable and but my one concern is that actually we have what I think,495.801730s
38, I think people are afraid of accepting refugees well I heard from Iraq I watched the documentary that most people who come to Korea are really in dire need of are peaceful people but my one concern is that there might be some cases in which people who disguise themselves as Refugee but like to have like political or like religious sort of purpose like is is because I,524.416470s
39, people are afraid of accepting refugees well I heard from I read I watched the documentary that most people who come to Korea but my one concern is that there might be some cases in which people who disguise themselves as Refugee but like who have like political or like religious sort of purpose like biases because I because in one new store to go,525.779553s
40, because in one new store article one people from Indonesia which is different country but disguise himself as just foreign worker but turned out to be part of ideas so it was one big issue so how my one concern is what if we accept if we start accepting more of these people how are we going to weed out some potential like Risk that's my one concern but most of like children women and people who are in dire need of,554.434385s
41, all one people from Indonesia which is different country but disguise himself as just foreign worker but turned out to be part of is it was one big issue so how my one concern is if we accept if we start accepting more of these people how are we going to weed out some potential like Risk that's my one concern but most of like children women and people who are in dire need of me definitely should be,555.797468s
42, definitely should be accepted so yeah that is my concern,561.620643s
43, so yeah that is my concern,561.660733s
44, I mean it's it's true that most has happened and I,567.964997s
45, I mean it's it's true that those guys happened and I tend to believe that Korea has a very sophisticated system I mean the Korea has been accepting many immigrants not only refugees and I'm one of the like foreigners in Korea so I think Korea has already already has a sophisticated way of dealing with immigrants so I tend to believe just creates capable if Korea wants to create scab,592.981595s
46, I tend to believe that Korea has a very sophisticated system I mean the Korea has been accepting many immigrants not only refugees and I'm one of the like foreigners in Korea so I think Korea has already already has a sophisticated way of dealing with immigrants so I tend to believe just Korea is capable if Korea wants to create capable screening those tracks,594.986132s
47, that's my son,597.090893s
48, mobile screening those tracks that's my son and,599.366040s
49, and,599.386086s
50, yeah I agree with it so we will end the debate here,607.985541s
51, yeah I agree with that so we will end the debate here,607.985542s
