,results/alternatives/0/transcript,results/resultEndTime
28, leaving here is also a showing of Ingress Ingress right so it's like I think career she'll start accepting that there should be more exposed to International I mean like other other other people other and we go like this Korean Goods like they started,286.508213s
29, interest in Korean and also during which also curious one of the their destination for Refugee and that and also because of this issue actually like the the other parts of the world like the other countries see Korea is like resist or semicolon come here yeah so yeah I mean it's not good for Korea,316.506082s
30, interest in Korean and also the Refuge also take curious one of the their destination for Refugee and and also because of this issue actually like the other parts of the world like the other countries see Korea is like resist or semi-public Community yeah so yeah I mean it's not good right for Korea,316.526128s
31, you seem like that International outside of their country like you say that,326.147896s
32, I'm like that International outside of their country like you say that there are already many foreigners that the already live here in Korea it's still a little but it increased little by little hey and now it with the number of refugees I think they're already a lot of foreigners and Koreans I think it's normal for,346.483905s
33, there are already many foreigners that the already leave here in Korea it's still little but it increased little while ago hey and now it with the number of refugees I think they're already a lot of foreigners and Koreans I think it's normal for the people to protect their culture so that they don't mix with another Foreigner culture,356.626854s
34, so you don't want to discriminate,365.687353s
35, for the people to protect their culture so that they don't mix with another Foreigner culture right so you don't want to,376.501820s
36, it is normal for two people to like protect first to protect your culture and then also I think they argue also about the safety of the Korean citizens like there's a killing or right only Korean woman speaking of safety,394.392297s
37, I think they argue also about the safety of the Korean citizens like they're killing or re on the Korean woman speaking of safety it doesn't it doesn't guarantee that if this country only consist of,401.698827s
38, it doesn't it doesn't guarantee that if this country only consists of real all these Koreans it very the safety because as you know there's a there are some cases like women being raped at Night by a little like the case in the how I think I heard the news about the and like people a woman being killed in real number is some some man,424.610665s
39, real I mean all these Koreans it guarantee safety because as you know there is a there are some cases like women being raped at Night by like the case in Gangnam I think I heard the news about that like people a woman being killed in some man and then also the reason issue about the you know the spy cam that way,431.977331s
40, and then also the reason issue about the you know the spy cam in the exact way so it doesn't even if it doesn't guarantee that this the Koreans also I mean just even just if there's only the screen and then doesn't guarantee safety so I think it's you can just have a stereotypical Prejudice of Outsiders to,454.468216s
41, so it doesn't even if it doesn't guarantee that this the Koreans also I mean just even just if there's only discrete and then doesn't guarantee a safe thing so I think it's you can just have a stereotypical Prejudice of Outsiders to do like they're going to be like a terrorist or,458.687762s
42, or like Wilderness or a criminals I think we yeah I don't think it's right to just judge someone just because we different oh yeah hey so,476.177332s
43, to like they're going to be like a terrorist or or like being terrorists or criminals I think we yeah I don't think it's right to just judge someone just because we different just because we have for dinner yeah so,476.227446s
44, but you but I think the the one that you should consider is the again the entry interest number of the refugee the 552 the keep increasing until now and also I think it will be more again in the next year than depending it's not the 500 people,506.596154s
45, but you well I think the one that you should consider is the again the entry increased number of the refugee the 552 the keep increasing until now and also I think it will be more game in the next year 2020 it's not the 500 people,506.636244s
46, it's not always like they're ready to do the to pick job site there are so white women and children right so I think that that population will,524.005541s
47, it's not always like they're ready to do the to take jobs like they're also like women and children right so I think that that's Operation will,524.035610s
48, we will be,527.222821s
49, we will be,527.252888s
50, like influence to the,532.564907s
51, like influence to be,532.675156s
52, you know it's like the government should provide the you know I think the increased number will will significantly,558.984680s
53, the feel like the looking so fly you know like like this government you'll provide the you know you're at they apply and subside a I think the inverse number will will significantly,559.004726s
54, significantly like butter the performer just apply it,569.518513s
55, significant,569.558603s
56, are you read that in one of the Articles here that the Korea actually provides provide like a settlement program for a North Korean defectors that coming to accept escaping from North Korea to South Korea but why can't they do the same for for refugees we just because they look different I mean yeah I don't know that whatever,599.376064s
57, are you read that in one of the Articles here that the Korea actually provide prevent like a settlement program for a North Korean defectors that coming to accept escaping from North Korea to South Korea but why can't they do the same for for refugees be just because they look me from I really I read that whatever,599.456246s
58, yeah it's fine why so because like they also deal to provide some settlement like how to do North Korean defectors like to how to settle in Korea and like like they're putting deafening living in Korea and I wonder why can they just I mean they they know how to end they they have they,629.865044s
59, yeah it's kind of why we can we do the same so because like they also they also provide set up a settlement like how to report North Korean defectors like to how to settle in Korea and like like that thing like deafening living in Korea and I wonder why and they just I mean they they know how to end they they have they,629.865045s
60, may I have the money for that but why can't they do the same for the refugees,637.081370s
61, may I have the money for it but why can't they do the same for your refugees,637.151530s
