,results/alternatives/0/transcript,results/resultEndTime
18, increased by 10 volt like more than tenfold and Nation probably did not prepared for this dramatic increase and also Korea is known for its homogeneous society majority of Korean citizens don't expect that much racial diversity in their society and they have not received enough education to accept people of different ethnic diversity,186.983041s
19, and I believe that such educational and,191.332881s
20, and I believe that such educational and,191.372973s
21, in terms of government subsidy wise such funding should be acquired first before accepting that many refugees because there are potential for racial discrimination and there's also potential for the government not being able to take care of the refugees they accepted because of their because they did not prepare for that many refugees entering the country,215.297099s
22, in terms of government subsidy wise such funding should be acquired first before accepting that many refugees because there are potential for racial discrimination and there's also potential for the government not being able to take care of the refugees they accepted because of their because they did not prepare for that many refugees entering the country,215.337191s
23, and in addition to my position I would like to assert that I would like to bring out the question of the security of locals when we accepted at least to the Jeju Island or there enough policies in hand to secure the,235.893698s
24, and in addition to my position I would like to assert that I would like to bring out the question of the security of locals when we accept that he used to Jeju Island are there enough policies in hand to secure the,235.923767s
25, security security of locals and with respect to refugees coming in,243.861726s
26, security security of locals and with respect to refugees coming in,243.951929s
27, so I would like to I would like to say something against what you have just argued primarily primarily she's here but she has argued that South Korea isn't over isn't ready to accept these refugees however in considering an economic standpoint and considering how the nation is stable South Korea in terms in terms of these are it is much more capable of accepting refugees than four examples some Nations who have already,274.531114s
28, so I would like to I would like to say something against what she have just argued primarily primarily she had what she has argued that South Korea isn't all work isn't ready to accept these refugees however in considering an economic standpoint and considering how the nation is stable South Korea in turn in terms of these already has much more capable of accepting refugees than four examples some Nations who have already,274.551159s
29, have too many refugees so and the humanitarian state but they at least have a place to eat and to work which many of these refugees have not had the opportunity also shared value that South Korea has two hormones homogeneous and many people face discrimination upon arriving in South Korea however this however there are if there is already a substantial amount of foreign foreign people and especially people with Muslim backgrounds living in South,304.508937s
30, I've talked to many refugees so and and humanitarian statement they at least have a place to eat and to work which many of these refugees has not had the opportunity also shares argued that South Korea is to hormones homogeneous and many people face discrimination upon arriving South Korea however this power there are if there is already a substantial amount of foreign foreign people and especially people with Muslim backgrounds living in South,304.528982s
31, South Korea and and therefore this and there and this amount is much more than the 500 yemeni refugees and also she has argued that they should be accepted after South Korea's ready for accepting refugees however that this means that the 500 yemenis refugees or maybe a huge portion of them like what happened now has has to or we have to only have a temporary status or where either be returned to Yemen how,334.526852s
32, to Korea as and therefore this and there and this amount is much more than the 500 you have any refugees and also she has argued that they should be accepted after South Korea's ready for accepting refugees however that this means that the 500 yemenis refugees or men or huge portion of them like what has happened now has has to over have to only have a temporary status or rather be returned to Yemen,334.546897s
33, this however they have already paid substantial amount and paid a huge risk for for arriving to South Korea and putting them back is against humanitarian obligations that South Korea has agreed to follow as a developed country,352.146716s
34, this however they have already paid the potential amount and paid a huge risk for for arriving to South Korea and putting them back is against humanitarian obligations at South Korea has a week to follow as a developed country,352.166761s
35, I like to disagree on how he said that Korea is economically and economically and just stable in general which is stated Korea is at state of war the war between South Korea and North Korea has not ended since since 1945 the which the war started after World War 2 so which is around that time all the men in Korea go to military are,385.852975s
36, I like to disagree on how he said that Korea is economically and economically and just stable in general which you stated Korea is that state of war the war between South Korea and North Korea has not ended since since 1945 the which the war started after World War 2 so which is around that time all the men in Korea go to a military our Force our,387.396467s
37, are required to go to military because of the situation I believe that the situation is hardly stable and also you said that because there are many people of Muslim background in Korea people in Korea are prepared to accept refugees well I would like to say I disagree that with you because,407.562091s
38, regard to go to military because of the situation I believe that this situation is hardly stable and also you said that because there are many people of Muslim background in Korea people in Korea are prepared to accept refugees well I was like to say I disagree that with you because,407.582136s
39, although there are many people up foreign background in Korea I believe that they have not integrated well into the society well just seeing the kinds of community of the separation between the international population and the Korean population I believe that further education and some campaigning is needed to prepare the Korean citizens to accept those refugees and except on visually different people into their society and in terms of humanitarian,438.041048s
40, although there are many people of foreign background in Korea I believe that they have not integrated well into the society well just seeing the Christ Community of the separation between the international population and the Korean population I believe that further education and some campaigning is needed to prepare the Korean citizens to accept those refugees and except on racially different people into their society and in terms of humanitarian,438.051071s
41, Aid I believe that I agree with you that if the Korea has the necessary means they should provide humanitarian Aid however,451.722s
42, Aid I believe that I agree with you that if the Korea has the necessary means they should provide humanitarian Aid however,451.762091s
43, because of the situations that I said beforehand I believe that Korea is not prepared to accept that many refugees and if the nation cannot provide for those refugees they cannot they should not try to accept as refugees if they cannot care for them that well,470.434336s
44, because of the situations that I said beforehand I believe that Korea is not prepared to accept that many refugees and if the nation cannot provide for those refugees they cannot they should not try to accept as refugees if they cannot care for them that well,470.434337s
45, so I would like to add some points to what she has are good to begin with she has argued that South Korea is in the very economic very is a very interested in stable Nation considering the war between North Korea and South Korea Korea is in a state of war in Korea it and Korean men are upload jacket military and of course Northeast Asia as a German South Korea North Korea,501.755199s
46, so I would like to add some points to watch yes all good to begin with she has argued that South Korea is in a very economical very it's a very interested in stable Nation considering the war between North Korea and South Korea Korea is in a state of war in Korea it and Korean men are up like Jack the military and of course Northeast Asia as a journalist South Korea North Korea,501.785266s
47, General is very in stable place in the political view however South Korea still has signs of dying the 1991 convention on refugees and this have Isaac eyes this I do own this employees that aren't yourselves career has only pasting in science and scientists in order to gain some in order to gain some status as a developed country towards the fact that South Korea is capable of accepting a substantial loan,531.733022s
48, General is very in stable place in the political view however South Korea still has signed signed the 1991 convention on refugees and this have argued eyes this I do own this employees that are usually South Korea has only hastening sign scientists in order to gain some in order to gain some status as a developed country towards the fact that South Korea is capable of accepting a substantial amount,531.763089s
49, to procure geez,532.915697s
50, a few G's,532.915698s
51, and I would like to further I would like to further clarify my remaining art when South Korea should not should not be focused on their own intent on internal struggle even though their heart South Korea is a nation that is a nation that,552.339644s
52, and I would like to further I would like to further clarify my remaining arguments South Korea should not should not be focused on their own engine own internal struggles even though their heart South Korea is a nation that is a nation that,552.359688s
53, that focuses on export and an agent that should be able to and and personally I think that South Korea should be a nation that tries to resolve International conflict and tries to integrate say previous I tried to and try to put,573.828260s
54, that focuses on export and an agent that should be able to end up and personally I think that South Korea should be a nation that tries to resolve International conflict and tries to integrate and say cream was tried to and try to put,573.888397s
55, interested in other and Global struggles and too,580.683771s
56, interested in other and Global struggles and too,580.964405s
57, and,583.039100s
58, and,583.059144s
59, recording,586.216288s
60, recording,586.226310s
61, regarding Refugee status diaper,594.936016s
62, regarding Refugee status die,595.006174s
63, I believe that a country should not be stressed,606.141367s
64, I believe that our country should not be stressed,606.351844s
