,results/channelTag,results/languageCode,results/resultEndTime,results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word
580,2,en-us,219.927575s,0.82182771, the problem is that we cannot tell which one is the fake Refugee and in early 2015 some big refugees went to Europe to take jobs and there are also rumors that the refugees are refusing to take our jobs in which island and they also complained about their salary so this this means that they are not,0.91283858,190.300s,190.100s,the
638,1,en-us,249.895377s,0.82389593, really real refugees which like like their place to live and most of the refugees that come to Korea are very young and strong male refugees and they are real real threat to safety of women in Korea because Islam culture the women right in this world culture is very,0.91283858,220.600s,220s,really
688,2,en-us,249.905398s,0.87515509, really real refugees which like like their place to live and most of the refugees that come to Korea are very young and strong male refugees and they are very real threat to safety of women in Korea because Islam culture the women right in his own culture is very,0.91283858,220.700s,220s,really
738,2,en-us,268.467394s,0.9128384, bad and there are real cases that they are refugees raped a lot of women in Europe so for the safety of of Korean people the refugees should be banned,0.91283858,250.700s,250.100s,bad
768,1,en-us,268.517509s,0.9128384, bad and there are real cases that they are refugees with a lot of women in Europe so for the safety of of Korean people the refugees should be kind,0.91283858,250.700s,250.100s,bad
798,1,en-us,299.186897s,0.77545905, I just said is true that I was already busy made very critical issues like real things in your rug but it does mean it hasn't occurred in Korea and and also use that and also you start that only young only unveiled if there's has come to Korea but yeah it's true but that's because it does bi,0.91283858,272.100s,271.900s,I
857,2,en-us,299.277100s,0.69634295, I just said is true that also represents the make very critical issues like things in your rug but it doesn't it has not occurred in trigger and and also use that and also you said that only young Indian way of the dishes come to Korea but yeah it's true but that's because if that's,0.91283858,272.100s,271.900s,I
913,1,en-us,329.164720s,0.74506867, young Matt young male and then refuses could be could be how can they if they if they remain if they remain in German they should do military station to military service in their in their country stored age and it doesn't accursed it doesn't offer too,0.91283858,299.700s,299.300s,young
960,2,en-us,329.254923s,0.79872429, young Matt young male Yemen refuges could be could be guessing they if they if they remain if they remain in Yemen they should do military they should do military service in their in their country store daesh and it doesn't appreciate it doesn't oppress do,0.91283858,299.700s,299.300s,young
1006,2,en-us,339.818824s,0.72049898, young young people and women to show is their priority they have some priority for that we should,0.91283858,330.600s,330.200s,young
1024,1,en-us,340.059369s,0.9128387, young young people and women still is their priority they have some priority for that you should,0.91283858,330.700s,330.200s,young
1042,2,en-us,370.488212s,0.81813449, he's escaped from their country because of the military service and it also means that they just escaped from there and Country abandoning their families and that's because they're the only strong people who can was able to run away from their own country and,0.91283858,347.200s,346.900s,he's
1087,1,en-us,370.508258s,0.9023084, he's escaped from their country because of the military service and it also means that they just escaped from their own country abandoning their families and that's because they're the only strong people who can was able to run away from their own country and,0.91283858,347.200s,347s,he's
1132,2,en-us,401.187668s,0.66812426, they came to Korea with Brokers and they were using SNS and I don't think that the less typical typical Refugee like using SMS and Facebook and I think it's one culture is not very compatible with Korean culture,0.4137184,371.900s,371.700s,they
1171,1,en-us,401.227759s,0.81860387, they came to Korea with Brokers and they were using SMS and I don't think that the less typical typical Refugee like using SMS and Facebook and I think it's one culture is not really compatible with Korean culture and they,0.91283858,372.800s,372.500s,they
1212,2,en-us,429.571886s,0.76578206, some time to pray during the day and they don't really they there are language problems and they only eat certain food and I think they are more merciful they are they more feel to other Islamic countries but instead of going other is one country they came to Korea and I think,0.91283858,401.500s,401.300s,some
1265,1,en-us,431.205582s,0.78137714, some time to pray during the day and they don't really they there are language problems and they only eat certain food and I think they are more they more fit to other Islamic countries but instead of going other is one country they came to Korea and I think I don't know why,0.91283858,401.500s,401.300s,some
1319,1,en-us,434.192340s,0.7314387, they came to Korea instead of going other Islamic country,0.73584026,431.300s,431.200s,they
1329,2,en-us,434.212385s,0.86700064, I don't know why they team to create instead of going other Islamic country,0.91283858,430s,430s,I
1343,1,en-us,464.460821s,0.81488985, as you said it could be a better decision to Dom to go to the other Islamic country is in that Andrea but as you know is no also Diet also that this country is suffered stuffer for the word or situation and also,0.91283858,438.500s,438.200s,as
1387,2,en-us,464.500911s,0.75785005, as you said it could be a better decision introduction to go to the other is one country is in that Adria but as you know it is as you know also that also that this countries suffer suffer for the were or situation and also,0.91283858,438.500s,438.200s,as
1433,1,en-us,476.016966s,0.73236656, as you know is hard to come to Korea because is so far from Yemen but it's a part of the event so,0.91283858,466.700s,466.100s,as
1456,2,en-us,476.037011s,0.73481596, as you know is hard to come to Korea because it's so far from Yemen but it's so far from Yemen so,0.91283858,466.700s,466.500s,as
1478,2,en-us,507.007079s,0.72694898, a lot of people many people cannot compute really I mean they were the only they were the only one to come to Korea in their family and also it is big it is believed that it is believed that they'll just looked at Vale Yum Yum Yum music cat,0.91283858,477.500s,477.400s,a
1528,1,en-us,507.017103s,0.809636, a lot of people I mean many people cannot come to a career I mean they were the only gave you were the only one to come to Korea in their family and also it is built it is believed that it is believed that bail just looked at Vale Yum Yum Yum music cat,0.91283858,477.400s,477.400s,a
1583,2,en-us,536.984902s,0.74322546, has more possibility to take theirs up in bring country and also as use as you start that it'll be hard to hard part to be familiar with a Korean portrayal as edges that that is is not compatible but it is all same to useful same to the other vendors life from America or friends or whatever,0.91283858,507.400s,507s,has
1641,1,en-us,536.994926s,0.7526567, has more possibility to take there's up in foreign country and also as use as you start that it'll be hard to hard to be familiar with Korean portrayal as edges that that is is not compatible but it's all saying to Israel saying to the other vendors life from America or friends or whatever,0.91283858,507.400s,507.100s,has
1696,2,en-us,557.080368s,0.79897207, other countries because I heard that almost every foreigners cannot speak Korean even they plan to plan to work and make some money in Korea so it's cool thing to the other foreigners not just worried cancer,0.91283858,537.100s,537s,other
1733,1,en-us,563.494882s,0.77752393, other countries because I heard that almost every Bernhard cannot speak Korean even they plan to plan to work and make some money in Korea still is school same to the other Learners not just worried as I think although,0.91283858,537.100s,537s,other
1773,2,en-us,583.419960s,0.82749069, I think although I think we are a single problem relation and we are not mature enough to take Islamic refugees and most of the good work places they will refuse to employ,0.91283858,558.700s,558.600s,I
1806,1,en-us,593.753340s,0.72929364, I think we are a single foreign nation and we are not mature enough to take Islamic refugees and most of the woodwork places they will refuse to employ Yemen refugees and they will be exposed to crime in the end like because they cannot,0.91283858,564.400s,564.300s,I
1851,2,en-us,598.524133s,0.70795029, Yemen refugees and they will be exposed to crime in the end like because they cannot earn money from good jobs and,0.3669197,584.500s,584s,Yemen
1873,1,en-us,598.594292s,0.71256959, from good jobs and,0.67430705,595.100s,594.600s,from
1877,2,en-us,629.003090s,0.75023907, I think they are potential some of them are potential terrorists and even though not all of them I know that not all of them are potential terrorist but if there is only one people one person you want to do want to commit crime in Korea and that will be a huge problem and at that time,0.91283858,599.800s,599.700s,I
1935,1,en-us,629.013114s,0.86098474, I think they are potential some of them are potential terrorists and even though not all of them I know that not all of them are potential terrorists but if there is only one people one person want to wants to commit crime in Korea and that will be a huge problem and at that time,0.91283858,599.800s,599.700s,I
1991,1,en-us,641.802048s,0.81394488, I think there is no one who can be responsible for the point so we cannot wait for someone to commit crime and we have to prevent that before,0.91283858,630.100s,630s,I
2020,2,en-us,641.972433s,0.73880821, time I think there is no one who can be responsible for that crime so we cannot wait for someone to commit crime and we have to prevent that before,0.53336471,629.400s,629s,time
2050,2,en-us,646.181956s,0.90974426, finish the debate here,0.90046132,643.800s,643.500s,finish
