new_words,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,delta2,lowAlpha2,highAlpha2,lowBeta2,highBeta2,lowGamma2,middleGamma2,theta2,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans
people actually feel feel about the number is not small because Korea is,-1.676,-1.55,-1.57,-1.417,-0.604,-1.097,-2.875,-2.035,-1.213,-1.023,-1.456,-1.192,-0.5,-0.639,-0.563,-1.394,3,3,2,2,2,1,3,3,1,1,1,2
the judge island is a special case because once the refugees moving to the judge Island their economic activities,-1.03,-0.533,-1.23,-1.154,0.452,-0.152,0.941,-1.319,-1.024,-0.282,-0.881,-0.4,0.773,0.741,0.132,1.065,3,4,1,1,1,1,3,3,1,1,2,1
they there are language problems and,-1.608,-1.262,-1.478,-1.384,-0.746,-0.987,-2.112,-1.758,-1.329,-1.112,-0.99,-1.127,-0.004,-0.603,-0.958,-1.704,3,3,1,1,1,1,3,2,1,1,2,1
as you know is no also Diet also that,-1.656,-1.588,-1.632,-1.444,-1.101,-1.264,-2.751,-1.992,-1.112,-0.545,-1.159,-0.944,3.05,-1.089,-0.867,-1.029,2,3,1,1,1,1,3,2,1,1,3,1
mean,-0.736,0.097,0.023,-0.823,2.552,4.087,-0.02,0.839,-1.386,-1.297,-1.45,-1.328,-0.761,-0.84,-2.046,-1.779,3,3,1,1,1,1,2,3,1,1,1,1
how every other that's not really TRUE because unless you're actually a Korean citizen not,-1.444,-1.437,-1.509,-1.31,-0.311,-0.843,-1.4,-1.559,-1.565,-1.509,-1.387,-1.071,-0.214,-0.286,-2.436,-1.791,4,4,3,1,1,1,3,4,2,1,1,1
they take care of these people who they have all these different humanitarian AIDS if you were,-1.501,-1.255,-1.399,-1.329,0.302,-0.309,-0.387,-1.795,-1.349,-0.91,-1.289,-0.911,0.596,-0.241,0.008,-1.465,3,3,1,1,2,1,3,4,3,1,1,1
okay so which I'm trying to argue against the yemeni refugees,-1.66,-1.6,-1.534,-1.375,0.162,-0.933,-2.704,-2.031,-1.352,-1.538,-1.263,-1.17,0.732,0.093,-0.649,-1.523,3,3,2,1,2,1,3,3,1,1,2,1
getting a bit better Islam is still a very sexist religion,-1.493,-1.431,-1.481,-1.078,-0.802,-0.749,-2.164,-1.782,-1.415,-1.347,-1.25,-1.225,-0.173,-0.391,-1.732,-1.535,3,4,1,1,2,1,2,3,1,1,1,1
those people just because they're like,-1.245,-0.98,-1.501,-1.331,-0.701,-1.019,-1.462,-1.565,-1.158,-0.743,-1.399,-1.291,-0.16,-0.946,-1.176,-1.675,3,2,2,2,1,1,3,3,2,1,2,1
suspect suspicious being suspicious about,-1.431,-1.296,-1.423,-1.327,-0.377,-1.023,-1.466,-1.614,-1.519,-1.08,-1.437,-1.293,-0.264,-0.786,-1.392,-1.4,3,2,2,2,1,1,3,3,2,1,2,1
they only eat certain food and I think they are more,-1.625,-1.571,-1.598,-1.381,-0.978,-1.163,-2.373,-1.983,-0.448,1.773,-0.77,-1.113,3.87,-0.279,-1.594,-0.051,3,3,1,1,1,1,3,2,1,1,2,1
than Yemen that's TRUE and would you agree that Korea is a more developed,-1.484,-1.291,-1.413,-1.229,0.168,-0.297,-0.432,-1.574,-1.5,-1.403,-1.387,-1.381,-0.605,-0.787,-0.641,-1.196,3,3,1,1,2,1,3,2,1,1,1,1
all right first one the state for this accepting this refugees,-0.827,-0.512,-0.622,-0.504,-0.128,-0.1,-0.678,0.019,-1.032,-1.239,-1.182,-0.924,0.012,-0.479,-0.453,-0.837,2,3,2,1,1,1,3,3,1,1,2,1
generally speaking,-1.451,-1.396,-1.447,-1.344,-0.445,-0.678,-2.249,-1.671,-1.117,-1.253,-1.399,-1.371,-0.382,-0.607,-0.104,-1.322,3,2,2,2,2,1,3,3,1,1,3,1
I think there's no reason why we have to,-1.302,-1.297,-1.436,-1.347,-0.178,-0.559,-0.452,-1.863,-1.277,-0.891,-1.139,-1.121,0.942,1.578,-0.095,-0.999,3,4,2,1,1,1,3,3,1,1,2,1
it when Islam's or lot of sex with instruments,-1.258,-1.429,-1.249,-1.015,-0.765,-0.651,-1.632,-1.734,-1.416,-1.315,-1.39,-1.329,0.017,-0.214,-0.469,-1.901,3,3,1,1,1,1,4,3,2,1,1,1
do tend to take on lower-end drops then the natives however I think that again shows,-0.378,0.339,-0.913,-0.8,1.266,1.157,-0.089,-0.843,-1.731,-1.577,-1.618,-1.446,-1.1,-1.264,-2.725,-2.021,3,3,2,1,1,1,3,3,2,1,2,1
something they wanted job because of the painting and colony,-0.673,-1.161,-1.213,-0.98,0.971,0.397,0.637,-0.786,-0.657,-0.934,-0.841,-0.844,-0.139,-0.589,-0.867,-0.932,2,2,1,1,2,1,2,3,1,1,1,1
read the UN Refugee act perfectly but the Korea doesn't have,-1.296,-0.824,-1.371,-1.256,0.565,-0.45,-0.934,-1.088,-1.465,-1.357,-1.256,-1.334,-0.152,0.365,-2.307,-1.783,2,3,1,1,1,1,3,3,1,1,1,1
is I mean he's our hearing Jeju Island and if you don't,-1.18,-1.221,-1.417,-1.274,-0.74,-1.069,-0.926,-1.81,-1.49,-1.453,-1.497,-1.355,-0.845,-0.59,-1.74,-1.422,3,3,1,1,2,1,3,3,1,1,1,1
numbers of Economics I would say like for example so,-1.443,-1.481,-1.324,-1.314,0.38,-0.201,-1.051,-1.673,-0.229,-0.545,-1.174,-0.784,2.921,0.276,0.912,0.702,3,3,1,2,2,2,3,3,2,1,2,1
attitude young too my reduces because yema refuses,-1.255,-1.145,-1.25,-1.275,0.136,-0.262,-0.872,-1.361,-0.652,-0.735,-0.571,-0.704,0.472,1.555,1.643,-1.243,4,2,1,1,3,1,2,3,2,1,2,1
which the war started after World War 2 so which is around that time all,-1.198,-0.952,-1.106,-1.223,0.345,-0.113,-1.138,-1.517,-1.169,-0.883,-1.289,-0.988,0.871,0.911,0.219,-0.513,4,3,1,2,2,1,3,2,1,1,2,1
relation and we are not mature enough to take Islamic refugees,-1.501,-1.511,-1.319,-1.317,-0.416,0.467,-2.156,-1.897,-0.96,-0.67,-1.225,-1.301,-0.214,-0.746,-1.882,-1.553,4,3,1,1,2,1,3,4,2,1,1,1
in this case it culturally yes you're right it's a lot of people not really okay,-1.216,-1.556,-1.356,-1.244,-0.047,-0.531,-2.246,-1.807,-1.539,-1.512,-1.513,-1.39,-0.432,-0.536,-2.398,-1.469,3,3,2,1,1,1,3,3,1,1,2,1
unemployment rates between countries it's also important to see what kind of humanitarian AIDS,-1.322,-1.405,-1.484,-1.387,-0.202,-0.351,-1.061,-1.458,-1.539,-1.478,-1.374,-1.29,-0.056,-0.744,-1.491,-1.547,4,4,2,1,2,1,3,3,2,1,2,1
So Korea s rural side has decreasing continuously decreasing people,-1.29,-1.012,-1.282,-1.119,-0.036,-0.167,0.097,-1.042,-0.505,-1.147,-0.884,-1.047,1.209,0.192,-0.516,-1.261,3,2,1,1,2,1,3,3,1,1,2,1
view their restaurants also you mentioned the food,-0.953,-1.058,-0.933,-0.958,-0.035,0.304,-0.937,-0.386,-1.744,-1.687,-1.534,-1.471,-1.172,-1.304,-2.993,-2.112,2,3,2,1,1,1,2,3,2,1,2,1
well educated for working in relief resort area and providers night service to them,-1.453,-1.355,-1.266,-1.26,0.436,-0.262,-2.737,-1.995,-1.746,-1.688,-1.532,-1.485,-1.173,-1.364,-3.081,-2.115,2,3,1,1,2,1,2,3,2,1,2,1
Korean even they plan to plan to,-1.46,-1.294,-1.518,-1.389,0.034,-0.397,-0.923,-1.671,-1.449,-1.31,-1.272,-1.309,-0.434,-1.059,-2.064,-1.835,3,3,1,1,2,1,3,3,1,1,1,1
when when when it's acceptable to do so,-0.768,-0.967,-0.667,-1.234,1.399,1.447,0.088,-0.767,-1.713,-1.571,-1.526,-1.425,-0.857,-0.931,-2.458,-1.978,2,3,1,1,2,1,2,3,1,1,1,1
there are only allowed to do minor jobs like pitching,-1.294,-1.295,-1.324,-1.281,0.613,-0.382,-2.2,-1.665,0.582,-0.935,-0.585,-0.203,7.217,3.483,-0.224,-1.228,2,3,1,1,1,1,3,4,1,2,1,1
that this because this food is not popular among other people it would be,-0.718,-1.553,-1.279,-1.255,-0.542,-0.758,-2.288,-1.99,0.392,0.141,-0.085,0.473,4.227,4.353,-0.99,-0.165,2,3,2,1,2,1,3,3,2,1,1,1
as you start that it'll be hard to hard to,-1.427,-1.475,-1.465,-1.389,0.155,-0.679,-1.075,-1.676,-1.569,-1.442,-0.991,-1.331,-0.496,-0.748,-2.417,-1.874,3,3,1,1,2,1,3,3,1,1,2,1
dangerous Industries and also Korean this is,-1.359,-1.208,-1.507,-1.318,-0.27,-0.596,-1.034,-1.443,-1.405,-1.339,-1.315,-1.118,-0.414,-0.773,-1.628,-1.554,4,3,1,1,3,1,3,3,2,1,2,1
and there is a reasons firstly,-1.561,-1.563,-1.305,-1.275,0.95,-0.535,-2.775,-1.889,-1.677,-1.578,-1.623,-1.431,-1.184,-1.349,-1.702,-1.965,2,3,1,1,1,1,2,3,2,1,2,1
they don't have truthful intentions so,-1.562,-1.007,-1.46,-1.302,-0.287,-0.471,-1.316,-1.489,-1.476,-0.856,-1.46,-1.273,-0.885,-1.048,-1.679,-1.634,3,3,2,2,2,1,2,3,2,1,2,1
quite ready to be such a,0.258,0.279,-0.963,-0.945,2.681,3.437,-1.003,-0.096,-1.391,-1.355,-1.509,-1.417,-0.955,-1.159,-1.728,-1.103,3,3,2,1,2,1,3,3,2,1,2,1
you should,-1.611,-1.339,-1.552,-1.401,-0.768,-0.736,-2.713,-1.921,-1.394,-1.424,-1.402,-1.262,-0.676,-0.788,-2.341,-1.8,3,3,1,1,2,1,3,4,2,1,2,1
XO phobia sometimes and they're just like care about the conditioned living,-0.595,-0.794,-0.795,-0.962,1.109,0.872,-0.724,-1.374,-1.516,-1.31,-1.273,-1.27,0.52,-0.256,-2.006,-1.562,4,3,1,1,1,1,3,4,2,1,1,1
there are also rumors that the refugees are refusing,-1.684,-1.557,-1.593,-1.45,-0.797,-1.124,-2.728,-2.041,1.293,0.251,0.451,1.493,6.011,4.134,-0.578,0.125,3,3,1,1,1,1,4,3,2,1,3,1
Korean people need for did you have humanitarian,-1.567,-1.387,-1.573,-1.344,-0.423,-0.541,-1.835,-1.782,-0.172,-0.353,-0.369,-0.821,-0.894,-0.641,-0.069,-1.156,4,3,1,1,2,1,2,3,2,1,2,1
and that at that keep in the mind of,-1.541,-1.04,-1.303,-1.217,2.3,-0.397,-1.491,-0.914,-1.451,-1.624,-0.25,-1.339,-0.196,-0.536,-3.025,-2.087,3,3,1,1,2,1,2,3,2,1,2,1
a lot of women in Europe so for the safety of,-1.649,-1.537,-1.528,-1.425,-0.83,-1.25,-2.637,-1.983,1.169,-0.073,0.686,0.984,5.141,4.563,-0.445,-1.027,3,3,1,1,1,1,3,3,1,1,3,1
drop Italian recipes Italian and Irish for,-1.363,-1.367,-1.356,-1.261,-0.535,-0.643,0.301,-1.654,-0.76,-0.994,-1.263,-1.236,-0.849,-0.833,-0.865,-0.963,2,2,1,1,2,1,2,3,1,1,1,1
that's quite it's not asking for that we all,-0.967,-0.896,-0.753,-0.908,2.609,1.705,1.214,-1.27,-1.567,-1.353,-1.504,-1.28,-0.298,-0.696,-2.226,-1.894,2,3,1,1,1,1,3,3,1,1,1,1
we sort of stick to ourselves and we don't really care for other people they're non-korean so,-1.283,-1.415,-1.123,-1.132,0.329,0.045,-2.106,-1.786,-1.476,-1.372,-1.463,-1.336,-0.123,-0.758,-2.687,-1.596,3,3,2,1,2,1,3,3,1,1,2,1
to foreigners first I think that all of there are other,-0.564,-0.346,-1.025,-0.736,3.533,3.631,0.728,-0.961,-1.635,-1.619,-1.638,-1.41,-0.976,-1.285,-2.475,-1.932,3,3,1,1,2,1,3,3,1,1,1,1
there are so white women and children right so I think that,-1.354,-1.292,-1.538,-1.293,-0.681,-0.595,-0.619,-1.61,-1.571,-1.489,-1.57,-1.401,-0.711,-0.997,-1.241,-1.094,3,3,2,2,2,2,3,3,3,2,1,2
agree with the issue of Germany's Refugee acceptance,-0.654,-0.554,-0.555,-0.808,36.482,13.845,-0.357,-0.913,-1.535,-1.463,-1.352,-1.185,0.184,-0.601,-2.764,-2.029,4,4,2,1,1,1,3,3,2,1,2,1
maybe 500 people so I would say in the last spoke about,-1.336,-0.956,-1.368,-1.332,0.348,-0.162,-0.82,-1.783,-1.585,-1.459,-1.394,-1.381,-0.218,-0.907,-2.306,-1.89,3,4,2,2,2,1,3,2,2,1,1,1
or a threat to the u.s. to the European Union so I believe that,-1.545,-1.495,-1.487,-1.395,-0.883,-0.919,-1.439,-1.817,-0.495,-0.364,-0.496,-0.572,2.923,2.065,-0.454,-0.239,4,3,1,1,3,1,3,2,1,1,2,1
but you,-1.239,-0.854,-1.229,-1.355,1.243,0.069,0.953,-0.868,-1.069,-0.422,-0.949,-1.163,0.566,1.123,0.235,-1.156,3,3,3,2,2,2,3,3,3,2,1,2
convention this is this is especially important since South Korea,-1.252,-1.102,-1.356,-1.282,0.392,-0.12,-0.752,-1.228,-0.032,0.075,-0.219,-0.81,2.349,8.598,0.722,0.278,4,3,1,2,2,1,3,3,1,1,1,1
if you are a nice if our country was a stable,-1.27,-1.093,-1.293,-1.339,1.751,1.847,-0.446,-1.617,-1.315,-1.46,-1.445,-1.303,0.325,-0.362,-2.434,-1.654,3,3,1,1,2,1,3,3,1,1,1,1
the Korean government should accept this group of refugees,-1.584,-1.14,-1.351,-1.368,-0.488,-0.682,-1.713,-1.819,-1.249,-1.254,-1.023,-1.095,0.161,0.277,0.046,-1.698,3,3,1,1,1,1,3,4,2,1,2,1
they do they can't and other,-1.463,-1.355,-1.163,-1.057,-0.207,-0.582,-2.643,-1.087,-1.267,-1.07,-1.17,-1.163,0.674,-0.308,-0.516,-1.251,3,4,2,1,1,1,3,3,1,1,1,1
so to mention about the safety,-1.491,-1.45,-1.44,-1.255,-0.393,-0.837,-1.531,-1.56,-1.467,-1.337,-1.568,-1.299,-0.876,-0.984,-2.125,-1.543,2,3,2,2,2,1,2,3,2,1,2,1
and the proportions are amazing how,-1.503,-1.558,-1.294,-1.256,0.344,0.738,-1.386,-1.797,-0.928,-0.98,-1.287,-1.194,0.505,-0.243,0.271,-1.128,2,3,1,1,1,1,3,3,1,1,1,1
bottom there are there are a lot of people who doesn't have enough money and they struggle to live out their everyday,-0.9,-0.115,-1.093,-1.162,3.066,0.894,1.2,-0.736,-1.643,-1.502,-1.552,-1.389,-0.801,-1.094,-1.956,-1.754,3,3,1,1,1,1,3,3,1,1,1,1
ago and we promise to the international society that we are going,-0.811,-0.366,-0.59,-0.178,-0.008,-0.262,1.89,-0.753,-0.641,-0.44,-1.086,-1.068,1.738,1.113,0.853,-0.436,3,3,1,1,2,1,3,3,1,1,1,1
it's not good to generalize this people in,-1.437,-1.327,-1.557,-1.275,-0.996,-1.073,-1.745,-1.667,-1.479,-1.276,-1.473,-1.359,-1.034,-1.104,-1.921,-1.42,2,2,1,2,2,1,3,3,1,1,3,1
are no money not clear evidence why they came here like,-1.35,-0.687,-1.244,-1.019,1.265,0.303,-2.203,-1.688,-1.199,-1.144,-1.05,-1.028,-0.644,-0.939,0.501,-1.099,4,3,2,2,2,1,2,3,2,1,1,1
but then these yemenis people or not that case like they do to Korea,-1.419,-1.369,-1.359,-1.157,-0.324,-0.863,-0.118,-1.21,-1.186,-1.056,-1.044,-0.946,0.734,0.056,-1.484,-1.293,3,4,2,1,1,1,3,3,1,1,1,1
they may not allow us to make that decision so easily,-0.877,-0.784,-0.595,-0.973,4.315,3.791,0.959,-1.502,-1.319,-1.037,-1.267,-1.22,-0.325,-0.462,-0.191,-1.584,3,3,1,1,1,1,3,3,1,1,1,1
country in well well defined,-1.244,-1.041,-1.558,-1.306,-0.312,-0.904,-0.146,-1.603,-1.297,-0.85,-1.423,-1.231,-0.143,-0.182,-1.154,-1.31,3,4,1,1,1,1,3,4,2,1,1,1
to get accepted as a refugee but,-1.411,-1.312,-1.414,-1.343,-0.53,-0.731,-0.343,-1.773,-0.874,-1.128,-1.397,-1.103,-0.164,-0.791,-1.488,-1.463,3,3,2,2,2,1,2,3,2,1,2,1
think that we idealistically we should let these people in,-1.408,-1.401,-1.402,-1.15,-0.003,-0.082,-1.605,-1.441,-1.549,-1.509,-1.48,-1.421,-0.74,-1.141,-2.774,-1.88,3,3,1,1,1,1,4,3,1,1,1,1
of Korean citizens don't expect that,-1.403,-1.446,-1.467,-1.273,-0.746,-0.928,-1.337,-1.486,-1.218,-1.378,-1.186,-1.239,0.071,0.137,-1.239,-1.163,3,2,1,1,1,1,3,3,1,1,1,1
you said that the law makes the refugees movements illegal but,-1.434,-1.421,-1.544,-1.42,-0.618,-1.073,-2.593,-1.549,-1.375,-1.501,-1.441,-1.297,-0.544,-0.897,-1.461,-1.326,2,3,1,1,1,1,3,4,1,1,1,1
number of refugees increase like,-1.625,-1.413,-1.489,-1.381,-0.196,-0.845,-2.083,-1.75,-1.075,-0.355,-1.035,-0.603,1.976,1.858,1.826,-0.957,3,3,2,1,2,1,3,3,2,1,2,1
there was no problem in maintaining that particular acceptance rate if,-0.122,-0.697,-0.892,-0.586,-0.68,-0.808,-0.137,-0.35,-1.481,-1.426,-1.494,-1.334,-0.804,-1.04,-1.775,-1.796,3,3,1,1,2,1,3,3,1,1,1,1
profile like a shelter for for the,-1.638,-1.321,-1.382,-1.256,0.713,0.061,-1.975,-1.876,-1.13,-0.236,-0.965,-0.921,1.756,2.432,-0.158,-0.449,4,4,3,2,2,1,4,4,3,1,1,2
Americans so I think there's no proper reason,-1.695,-1.591,-1.498,-1.377,-1.032,-1.097,-1.299,-1.816,-1.634,-1.55,-1.543,-1.402,-0.658,-0.827,-2.446,-1.793,4,4,1,1,1,1,3,3,1,1,2,1
only a short title answer to sell that terrified only satisfies the,-1.262,-0.886,-1.02,-1.183,2.487,0.244,-0.298,-1.232,1.59,3.528,-0.25,-0.222,9.948,5.232,0.713,0.877,3,3,1,2,2,1,2,3,1,1,1,1
refugees to just blame them as like a you know they,-1.62,-1.217,-1.563,-1.347,-0.792,-0.99,-2.226,-1.574,-1.514,-1.307,-1.307,-1.162,-0.034,-0.254,-1.626,-1.27,3,2,2,2,1,1,3,3,2,1,2,1
without these are finished and a Spanish from medical,-0.846,-1.457,-1.395,-1.145,0.117,-0.615,-1.152,-1.46,0.356,0.464,-0.289,-0.741,4.244,0.074,-0.145,0.873,2,2,1,1,2,1,2,3,1,1,1,1
it's okay that Korea has said,-1.31,-0.529,-1.1,-1.256,0.84,-0.395,-1.107,-1.434,-1.301,-1.203,-1.275,-1.226,-0.678,-0.962,-0.68,-1.571,2,3,1,1,2,1,3,3,1,1,2,1
do how the police do for the refugees something like that so I think,-1.201,-0.425,-1.282,-1.107,0.847,0.072,-0.701,-0.748,-1.362,-1.417,-1.298,-1.312,0.965,0.31,-1.343,-1.546,4,3,1,1,1,1,3,3,1,1,2,1
and the yemeni people,-0.541,-0.262,-0.588,-0.803,5.155,2.892,0.611,-0.711,-1.264,-1.506,-1.486,-1.376,-0.51,-0.488,-1.113,-1.724,2,3,1,1,1,1,3,3,1,1,1,1
and even though not all of them I know that not all of them are,-1.5,-1.462,-1.569,-1.39,-0.921,-1.079,-1.791,-1.815,-1.527,-1.271,-1.306,-1.269,-0.354,-0.882,-0.956,-1.739,3,3,1,1,2,1,3,3,1,1,1,1
people first so if we look at an example of since breathtaking refugees is kind of a big,-1.284,-0.706,-1.398,-0.949,1.249,-0.297,-0.375,-1.096,-1.636,-1.525,-1.484,-1.306,-0.517,-0.202,-1.455,-1.683,2,3,2,1,2,1,2,3,2,1,2,1
I'm not very good at English and I'm the president so,-0.886,-1.343,-1.422,-1.131,-0.181,-0.953,-1.4,-1.946,-1.543,-1.163,-1.403,-1.328,0.028,-0.288,-1.795,-1.41,4,4,2,1,1,1,4,4,2,1,1,1
with Muslim backgrounds living in South South Korea and and therefore this,-1.431,-1.238,-1.428,-1.286,-0.656,-0.933,0.787,-1.756,-1.419,-1.519,-0.918,-1.276,2.011,0.826,-1.667,-1.096,4,3,1,2,2,1,3,2,1,1,1,1
Jeju Island are there,-1.47,-1.525,-1.439,-1.328,-0.357,-0.689,-1.028,-1.613,-1.18,-1.169,-1.439,-1.317,-0.648,-1.097,-0.099,-1.337,4,3,2,2,2,1,2,3,2,1,1,1
that I think like it's just like 2% that Korean,-1.061,-0.568,-1.074,-0.897,1.152,0.872,0.258,-0.465,-1.381,-1.373,-1.336,-1.287,-0.077,-0.39,-1.481,-1.568,4,3,1,2,2,1,3,3,1,1,2,1
is really kind of different because you know Korea is like in your slowly opening,-0.788,-0.824,-1.373,-1.123,-0.169,-0.124,-0.971,-0.698,-1.229,-1.362,-1.559,-1.201,-0.902,-1.084,-1.95,-1.747,3,3,1,1,2,1,2,3,1,1,1,1
that you've stated you did you mentioned on government's role,-1.046,-1.031,-1.183,-0.989,0.336,0.544,-1.435,-1.292,-1.609,-1.249,-1.534,-1.413,-0.606,-0.818,-0.684,-1.774,3,3,2,1,1,1,3,3,2,1,2,1
because of the situations that I said beforehand I believe that Korea is not prepared,-1.282,-0.975,-1.342,-1.156,-0.249,-0.798,0.566,-1.151,-1.257,-1.351,-1.439,-1.268,-0.357,-0.758,-2.098,-1.482,3,3,1,1,1,1,3,3,1,1,2,1
like judging a book by it's cover I guess I definitely,-1.506,-1.506,-1.417,-1.299,-0.174,-0.688,-2.114,-1.478,-1.177,-1.56,-1.372,-1.269,0.036,-0.373,-1.962,-1.776,3,3,1,1,1,1,4,3,1,1,1,1
societies very low and therefore all these objections against the refugees,-1.566,-1.471,-1.559,-1.417,-0.79,-1.044,-1.767,-1.779,-1.016,-0.892,-1.175,-1.17,0.385,1.167,-0.835,-1.509,3,4,1,1,1,1,3,3,1,1,2,1
to add some points to what she has are good to begin with she has,0.493,0.1,-0.911,-0.618,2.424,1.722,-0.282,0.847,-1.501,-1.177,-0.624,-1.132,0.57,1.749,-1.62,-1.527,3,3,1,1,1,1,3,3,1,1,2,1
their first support from the US and then when Saddam Hussein died,-1.304,-0.886,-1.035,-1.057,0.198,0.195,-1.184,-1.488,-0.148,0.008,-0.705,-1.065,3.209,2.712,-0.154,-0.584,3,3,2,2,2,1,3,3,2,2,2,1
benefits if the Korean government letter reality,-1.341,-1.383,-1.472,-1.263,0.324,-0.197,-1.685,-1.746,-0.636,-1.153,-1.099,-0.818,0.48,0.784,1.854,-0.796,2,3,1,1,1,1,2,4,1,1,2,1
means people can work at their and and you have,-1.598,-1.611,-1.564,-1.362,-0.932,-1.046,-2.76,-1.786,0.371,0.627,2.117,1.004,15.136,14.534,1.502,1.119,2,3,2,1,1,1,2,3,2,1,2,1
cause critical issues before you in Korea in myself,-1.349,-1.41,-1.481,-1.098,-0.506,-0.739,-0.912,-1.04,-0.804,-1.094,-0.943,-1.17,1.475,1.185,-1.963,-0.837,4,4,2,1,1,1,3,3,1,1,1,1
they fact of the refugees on Korean Society is much smaller compared to the effect,-1.509,-1.126,-1.417,-1.323,0.422,-0.568,0.461,-1.394,0.34,-0.523,-0.39,-0.695,1.022,1.243,1.539,-0.396,2,4,1,1,1,1,3,4,1,1,1,1
already taking in an annual number of refugees from North Korea so although,-1.256,-0.933,-1.435,-1.117,-0.058,-0.082,0.526,-1.187,-1.389,-1.563,-1.445,-1.32,-0.39,-0.562,-2.968,-1.804,4,4,2,2,2,1,3,3,2,1,2,1
2.40% from 1994 the sin that,-1.457,-1.505,-1.441,-1.221,0.052,-0.601,-2.337,-1.729,-1.328,-1.523,-1.424,-1.193,-0.508,-0.164,-1.188,-1.572,3,3,2,1,2,1,3,3,2,1,2,1
about the responsibilities that the South Korea doesn't hold the responsibility to take care of this,-0.216,-0.232,0.895,-0.002,-0.092,-0.018,-0.053,-0.743,-1.464,-1.337,-1.414,-1.321,-0.102,-0.812,-2.573,-1.8,3,3,1,1,1,1,4,3,1,1,1,1
Islam culture the,-1.428,-1.361,-1.439,-1.316,-0.37,-1.028,-2.307,-1.667,2.875,-0.126,0.432,-0.13,4.404,5.617,0.694,-0.118,2,3,1,1,1,1,3,2,1,1,3,1
other wealthy families are taking adopting children,0.061,-0.274,-1.312,-0.77,0.932,0.013,1.811,-1.278,-1.41,-1.449,-0.978,-1.2,0.268,0.294,-2.374,-1.484,2,3,2,1,2,1,2,3,2,1,2,1
to kill non-muslims and kill the,-0.914,-0.988,-1.127,-1.091,1.892,1.185,-0.351,-0.665,-1.455,-1.023,-0.942,-1.117,1.464,1.614,0.044,-0.306,4,3,2,1,1,1,3,3,2,1,1,1
disagreement happening so at this point people are not ready to accept the people,-0.84,-0.59,-0.68,-0.777,-0.518,-0.816,-0.887,-0.889,-1.552,-1.298,-1.397,-1.31,-0.151,-0.716,-1.213,-1.672,3,3,1,1,1,1,3,3,1,1,2,1
