new_words,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,delta2,lowAlpha2,highAlpha2,lowBeta2,highBeta2,lowGamma2,middleGamma2,theta2
against these refugees but I believe this issue is not,215,2,2,0,0,1,0,215,2,2,0,0,0,0,-0.681,-1.04,-0.569,-0.4,-0.447,-0.003,-0.473,-0.119,-1.156,-1.246,-1.198,-1.123,-0.367,-0.169,-0.498,-1.655
really a democratic issue that can be decided upon the popular Theory votes it is the legal,220,2,2,0,0,1,0,220,2,2,0,0,0,0,-0.863,-0.861,-0.529,-0.653,-0.74,-0.539,-1.859,-0.653,-1.425,-1.189,-1.09,-0.852,-0.001,0.198,-1.17,-1.391
right to be examined under a fair and Justice law because it is a law we,225,2,2,0,0,1,0,225,2,2,0,0,0,0,1.165,-0.251,1.659,-0.182,1.551,0.694,0.842,0.395,-0.802,-0.706,-0.895,-0.78,2.094,1.217,0.147,-1.259
I mean it is also kind of an International Love Me Korea sign like several tens of years,230,2,2,0,0,1,0,230,2,2,0,0,0,0,-0.32,0.1,-0.451,-0.489,0.085,-0.104,0.336,0.774,-0.762,-0.87,-1.117,-1.058,2.071,0.717,-0.548,-1.336
ago and we promise to the international society that we are going,235,2,2,0,0,1,0,235,2,2,0,0,0,0,-0.811,-0.366,-0.59,-0.178,-0.008,-0.262,1.89,-0.753,-0.641,-0.44,-1.086,-1.068,1.738,1.113,0.853,-0.436
to accept the refugees in this or that cases so well I do,240,2,2,0,0,1,0,240,2,2,0,0,0,0,-1.098,0.107,-0.918,-1.076,-0.643,-1.01,-0.45,-0.72,-1.44,-1.188,-1.334,-0.998,0.717,0.099,-0.103,-1.521
understand a lot of people are against the well there are a lot of like emotional or,245,2,2,0,0,1,0,245,2,2,0,0,0,0,-0.306,0.409,-0.314,-0.111,1.175,0.161,0.934,0.025,-0.968,-0.773,-1.104,-1.034,0.575,1.2,1.943,-0.163
emotional or personal personal feelings,250,2,2,0,0,1,0,250,2,2,0,0,0,0,1.017,1.815,-0.386,-0.293,0.036,0.582,0.43,1.376,-1.359,-1.435,-1.456,-1.278,-0.072,-0.328,-2.165,-1.893
against these refugees or in general against work for foreigners coming in,255,1,2,1,0,0,0,255,2,2,0,0,0,0,-0.012,-0.008,-0.365,1.516,0.731,0.456,0.746,1.118,-0.744,-1.247,-1.139,-1.164,0.006,-0.477,-0.678,-1.525
the country but well I think that's not really the issue in this case and,260,2,2,1,0,0,0,260,3,2,0,0,0,0,-1.014,-0.867,-0.991,-0.807,-0.728,-0.714,-1.673,0.802,-0.506,-1.02,-1.272,-0.746,-0.522,-0.119,-0.757,-0.769
and also also well you,265,2,2,0,0,1,0,265,3,2,0,0,0,0,2.47,0.782,0.238,0.36,0.93,-0.338,-0.903,1.996,-1.539,-1.397,-1.43,-1.128,-0.522,-0.5,-0.204,-1.587
also mentioned that they're already legal legally residing two million foreign people,270,2,2,0,0,0,0,270,3,2,0,0,1,0,-1.406,-0.869,-1.315,-0.981,-1.084,-1.002,-1.001,-1.684,-1.095,-0.051,-0.925,-0.748,2.674,0.477,-0.543,-1.289
in South Korea and what I want what I just want to mention is that they're not,275,2,2,0,0,0,0,275,3,2,0,0,0,0,-0.179,-0.424,-0.786,-1.041,-0.67,-0.656,0.655,-0.643,-1.416,-0.713,-1.199,-1.031,-0.311,-0.312,0.167,-1.403
illegal immigrants are just under a process so well it's not really,280,2,2,0,0,0,0,280,3,2,0,0,0,0,-0.727,-0.252,-0.709,-0.502,-0.522,0.029,-0.231,0.38,-1.428,-1.114,-1.298,-1.02,0.21,0.333,-0.075,-1.156
it's really hard to say very illegal he's just in the in between that process in between those,285,2,2,0,0,0,0,285,3,2,0,0,0,0,-0.948,-0.979,-0.631,0.329,-0.396,-0.352,-0.499,-0.968,-1.259,-1.085,-0.895,-0.83,1.169,0.349,-0.031,-1.139
fetuses and well you also mentioned,290,2,2,0,0,0,0,290,2,2,0,0,0,0,0.263,-0.629,-0.574,0.49,-0.061,-0.725,-0.1,-0.93,-1.351,-1.421,-1.375,-1.162,0.108,-0.145,-1.782,-1.355
about the responsibilities that the South Korea doesn't hold the responsibility to take care of this,295,2,2,0,0,0,0,295,3,2,0,0,0,0,-0.216,-0.232,0.895,-0.002,-0.092,-0.018,-0.053,-0.743,-1.464,-1.337,-1.414,-1.321,-0.102,-0.812,-2.573,-1.8
refugees but well let's go back to the represent convention,300,2,2,0,0,0,0,300,2,2,0,0,0,0,1.008,0.98,0.122,1.603,0.424,1.805,-0.115,0.477,-1.386,-0.801,-0.951,-0.843,-0.14,-0.616,-0.286,-1.181
and we do have a responsibility for that right,305,2,2,0,0,0,0,305,3,2,0,0,0,0,0.497,-1.05,1.113,0.225,-0.33,-0.683,-0.326,-0.451,-1.424,-1.32,-1.404,-1.264,-0.571,-0.758,-1.69,-1.378
so repeatedly you've mentioned the law but the agreement,310,2,2,0,0,0,0,310,3,2,0,0,1,0,-0.597,-0.749,-0.57,-0.829,-0.871,-0.983,-1.555,-1.7,-1.518,-1.296,-1.497,-1.319,-0.516,-1.004,-2.431,-1.839
that tree has signed impact in 1994 which is more than 20 years ago,315,2,2,0,0,0,0,315,3,2,0,0,0,0,0.324,0.07,2.086,1.063,0.527,0.151,1.284,-0.134,-1.529,-1.432,-1.52,-1.27,-0.388,-0.874,-2.652,-1.959
and what we but I want to point out is that if this law,320,2,2,0,0,0,0,320,2,2,0,0,0,0,0.331,-0.293,1.268,1.344,-0.112,0.46,0.351,0.118,-1.385,-1.444,-1.515,-1.296,-0.807,-0.724,-2.815,-1.926
signed and if this was supposed to become an issue the government should not be responsible,325,2,2,0,0,0,0,325,2,2,0,0,0,0,-0.36,1.217,0.299,0.302,-0.04,0.029,0.002,-0.586,-1.35,-1.188,-1.41,-1.141,-0.025,-0.344,-0.977,-1.497
to educate the people prior to this,330,2,2,0,0,0,0,330,3,2,0,0,1,0,-0.228,-0.166,-0.192,0.281,-0.275,-0.512,0.687,-0.539,-1.285,-1.386,-1.416,-1.235,-0.614,-0.894,-2.493,-1.628
disagreement happening so at this point people are not ready to accept the people,335,2,2,0,0,0,0,335,2,2,0,0,1,0,-0.84,-0.59,-0.68,-0.777,-0.518,-0.816,-0.887,-0.889,-1.552,-1.298,-1.397,-1.31,-0.151,-0.716,-1.213,-1.672
although the government has taken the choice to sign the agreement the,340,2,2,0,0,0,0,340,2,2,0,0,1,0,0.965,0.159,0.963,0.835,0.739,1.274,-0.557,1.119,-1.471,-1.492,-1.478,-1.294,-0.507,-0.922,-2.286,-1.813
general population was not aware and the failure of the government to YouTube operation educate the,345,2,2,0,0,0,0,345,2,2,0,0,0,0,-0.182,-1.122,0.247,0.177,-0.514,-0.245,-0.181,-1.036,-1.535,-1.041,-1.471,-1.304,-0.244,-0.882,-1.995,-1.377
population does not give it the right,350,2,2,0,0,0,0,350,2,2,0,0,0,0,-0.015,0.15,-0.181,0.505,0.052,-0.182,0.714,-0.863,-1.145,-1.326,-1.312,-1.194,-0.389,-0.844,-2.039,-1.805
to just go forward and do what they have done in the past but the young gender generation of we're not,355,2,2,0,0,0,0,355,2,2,0,0,1,0,0.425,0.78,0.311,0.863,0.223,-0.18,0.596,0.327,-1.597,-1.205,-1.44,-1.31,-0.7,-0.737,-1.326,-1.474
aware of this issue and since back in 1994 over,360,2,2,0,0,0,0,360,2,2,0,0,1,0,0.808,0.988,1.631,1.238,-0.309,0.273,-0.021,2.309,-1.503,-1.487,-1.476,-1.259,-0.845,-0.756,-2.848,-1.753
"33,000 refugees had applied but only 2.4 percent",365,2,2,0,0,0,0,365,2,2,0,0,1,0,-0.688,-0.364,-0.365,0.763,-0.616,-0.382,-1.236,-0.824,-1.314,-1.47,-1.479,-1.255,-0.737,-0.952,-1.773,-1.65
were accepted and right now the if the numbers were maintained,370,2,2,0,0,0,0,370,2,2,0,0,1,0,1.206,1.586,1.075,2.014,1.427,4.403,0.564,1.523,-1.491,-1.417,-1.533,-1.321,-0.95,-0.94,-2.09,-1.806
there was no problem in maintaining that particular acceptance rate if,375,2,2,0,0,1,0,375,2,2,0,0,0,0,-0.122,-0.697,-0.892,-0.586,-0.68,-0.808,-0.137,-0.35,-1.481,-1.426,-1.494,-1.334,-0.804,-1.04,-1.775,-1.796
he applied that acceptance rate to the current situation there should be no more problem although there's a sudden,380,2,2,0,0,1,0,380,2,2,0,0,0,0,-0.707,-0.524,-0.394,-0.608,-0.648,-0.837,-1.491,0.895,-1.566,-1.594,-1.532,-1.347,-0.766,-0.962,-2.358,-1.961
influx or so that incoming of the large number at this year,385,2,2,0,0,1,0,385,2,2,0,0,0,0,0.018,-0.828,-1.023,-0.814,-0.65,-0.384,-0.581,-0.378,-1.53,-1.218,-1.335,-1.21,-0.243,-0.458,-0.896,-1.648
last year we cannot accept more,390,2,2,0,0,1,0,390,2,2,0,0,0,0,-1.169,-0.74,-1.207,-0.985,-0.769,-0.929,-0.774,-0.502,-1.253,-1.011,-1.332,-1.208,-0.158,-0.228,-1.137,-1.637
than what he had done previously without a safe angry life,395,2,2,0,0,1,0,395,2,2,0,0,0,0,-0.356,0.011,-0.329,2.742,-0.249,-0.196,0.454,1.51,-1.392,-1.19,-1.262,-1.181,-0.382,-0.108,-1.045,-1.494
all,400,2,2,0,0,1,0,400,2,2,0,0,0,0,1.121,1.596,-0.235,0.439,1.999,1.005,0.963,1.798,-1.435,-1.015,-1.403,-1.097,0.246,-0.469,-0.064,-0.815
right,405,2,2,0,0,1,0,405,2,2,0,0,0,0,0.243,2.527,1.553,1.153,-0.265,-0.21,-0.452,1.021,-1.021,-0.506,-1.158,-1.254,-0.135,-0.407,-0.177,-1.742
so well yeah I do,410,2,2,0,0,1,0,410,2,2,0,0,0,0,0.465,-0.095,-0.724,-0.739,-0.371,-0.774,1.263,-0.504,-1.453,-1.345,-1.461,-1.338,-0.753,-0.825,-0.718,-1.808
agree we do in in a sense that since we have already signed their confession,415,2,2,0,0,1,0,415,2,2,0,0,0,0,0.633,-0.517,-0.954,-0.661,-0.303,-0.643,0.465,0.53,-1.332,-0.328,-0.848,-0.323,1.56,0.599,0.139,-0.415
the government holds the responsibility to educate at least people,420,3,2,0,0,1,0,420,2,2,0,0,0,0,0.033,-0.317,-0.782,-0.657,-0.394,-0.264,0.32,-0.425,-0.977,-0.878,-1.218,-1.126,0.235,-0.396,-0.564,-1.307
about these conventions and are the country's responsibility International,425,3,2,0,0,1,0,425,2,2,0,0,0,0,1.481,-0.018,0.086,0.028,0.595,0.177,1.505,3.024,-0.909,-0.703,-1.025,-0.639,0.721,0.204,-0.211,-1.469
Society about refugees yeah I mean because because government,430,2,2,0,0,1,0,430,2,2,0,0,0,0,-0.79,-0.033,-0.687,-0.902,-0.844,-0.707,0.409,-0.062,-0.96,0.26,-0.49,0.257,2.365,2.835,1.235,-0.209
lacks that I think that this kind of problem happens inside yeah well besides,435,3,2,0,0,1,0,435,2,2,0,0,0,0,-0.266,-0.361,-0.633,-0.106,-0.45,-0.67,-0.365,-1.322,-0.655,-0.649,-0.743,-0.743,3.133,2.377,0.505,-0.013
that you mentioned about rate,440,2,2,0,0,1,0,440,2,2,0,0,0,0,-0.587,-0.164,-0.668,-0.354,-0.21,-0.582,-0.843,-0.331,-0.959,-1.071,-1.036,-1.006,0.061,-0.202,-0.985,-1.371
of the two point two point four percent of the acceptance rate well I want to,445,2,2,0,0,1,0,445,2,2,0,0,0,0,-0.661,-0.6,-0.42,-0.745,-0.306,-0.473,0.272,0.022,-1.241,-1.02,-0.87,-1.011,0.071,0.849,-1.049,-0.912
mention a little bit different view point of this,450,2,2,0,0,1,0,450,2,2,0,0,0,0,-0.549,0.225,-0.433,-0.562,0.08,-0.274,0.055,0.472,-0.445,-0.297,-0.86,-0.216,3.507,2.99,-0.391,-0.406
well you said that it is really irregular,455,2,2,0,0,1,0,455,2,2,0,0,0,0,-1.248,-0.619,-1.125,-1.187,-0.627,-1.101,-1.723,-1.194,-0.382,1.017,0.518,0.661,5.69,3.014,-0.236,0.934
death sudden influx of Romanian refugees in 2000 wait like 18 was really,460,2,2,0,0,1,0,460,2,2,0,0,0,0,-0.979,-1.034,-0.89,-0.395,-0.849,-0.996,-0.449,-0.956,-0.999,-0.94,-1.007,-1.029,0.518,0.942,-0.485,-0.607
an irregular but well in general refugees don't,465,2,2,0,0,1,0,465,2,2,0,0,0,0,-1.033,-0.148,-0.556,-0.747,-0.698,-0.5,0.515,-0.025,-1.474,-1.457,-1.52,-1.371,-0.764,-0.99,-2.401,-1.956
have a choice of whether they want to go this country or that country just have an,470,2,2,1,0,1,0,470,2,2,0,0,0,0,0.22,0.5,-0.129,1.17,0.502,0.254,2.361,1.451,-0.885,-0.833,-0.961,-0.966,0.689,0.527,0.238,-0.974
urge to escape their country and usually in that process they apply for the contactable,475,2,2,1,0,0,0,475,2,2,0,0,1,0,-0.35,-0.214,-0.447,-0.426,-0.645,-0.554,-0.152,-0.632,-1.169,-1.13,-1.403,-1.071,-0.184,-0.245,-1.55,-1.616
curse and the book wasn't just a signpost okay I'll get this money and you just go that,480,1,2,0,0,0,0,480,2,2,0,0,1,0,0.147,0.426,2.076,1.957,0.909,3.556,-1.273,0.254,-1.142,-0.86,-1.273,-1.093,-0.182,-0.289,-1.121,-1.321
country so well it's not really their choices of arriving to judge you Allen and,485,2,2,0,0,0,0,485,2,2,0,0,1,0,-1.077,0.224,-0.616,-0.106,-0.795,-0.502,-0.959,-0.983,-0.978,-1.363,-0.624,-0.897,2.604,1.569,-0.827,-1.193
in that case we do have to consider the humanitarian and their Refugee status and,490,2,2,0,0,0,0,490,2,2,0,0,1,0,0.905,1.055,0.103,1.36,-0.157,0.428,-0.635,-0.533,-0.211,-0.807,-1.28,-1.133,-0.681,-1.111,-0.951,-1.461
Refugee status legally and lawfully in South Korea,495,2,2,0,0,0,0,495,2,2,0,0,1,0,-1.113,-0.658,-0.26,-0.522,-0.414,-0.54,-0.847,-1.24,-0.78,-0.873,-0.206,1.216,0.862,0.135,-1.177,-1.332
so,500,2,2,0,0,0,0,500,2,2,0,0,1,0,0.053,-0.521,-0.089,0.051,-0.272,-0.027,-0.864,-1.116,-0.342,-0.359,0.241,-0.228,0.761,1.434,0.927,-0.224
once again the,505,2,2,0,0,0,0,505,2,2,0,0,1,0,-0.311,4.89,1.041,5.738,0.376,1.142,0.908,1.89,-1.541,-1.236,-1.319,-1.109,-0.11,-0.105,-2.007,-1.363
we repeat the point that there was a sudden increase of from 41,510,1,2,0,0,0,0,510,2,2,0,0,1,0,0.241,-0.578,1.411,-0.712,-0.554,-0.088,1.282,0.718,-1.363,-1.645,-1.495,-1.204,-0.854,-1.197,-1.148,-1.924
people to over 500 people refugees suddenly coming to Korea,515,1,2,0,0,0,0,515,2,2,0,0,1,0,1.12,-0.191,-0.907,-0.336,-0.321,-0.667,0.205,-0.141,-1.221,-1.33,-1.429,-1.241,-0.594,-0.827,-1.63,-1.748
although we have maintained a very low make the acceptance rate and the Brokers,520,2,2,0,0,0,0,520,2,2,0,0,1,0,1.306,2.041,1.379,2.07,1.095,0.759,0.257,3.163,-1.397,-1.209,-1.451,-1.094,-0.636,-0.72,-2.665,-1.714
should have been aware of that however they did not take responsibility in your in your,525,2,2,0,0,0,0,525,2,2,0,0,1,0,1.066,-0.527,-0.008,0.358,-0.499,-0.063,0.645,0.425,-1.536,-1.385,-1.491,-1.325,0.09,-0.554,-2.427,-1.902
case according to what you mentioned so it's these people don't have,530,2,2,0,0,0,0,530,2,2,0,0,1,0,1.654,-0.034,1.396,1.352,1.072,0.386,2.394,0.994,-1.507,-1.435,-1.484,-1.381,-0.839,-0.932,-2.45,-1.786
a choice but so does Korea Korea it's not ready,535,2,2,0,0,0,0,535,2,2,0,0,1,0,-0.737,-0.119,0.266,-0.629,2.218,1.261,2.14,-0.566,-1.571,-1.616,-1.538,-1.362,-0.855,-1.17,-2.34,-1.971
for accepting me more than two point four percent at the moment because currently again once again we,540,2,2,0,0,0,0,540,2,2,0,0,1,0,-0.276,0.56,-0.723,0.106,-0.229,-0.431,-0.246,2.58,-1.212,-0.974,-1.453,-1.244,-0.669,-0.607,-0.065,-1.719
have not had strict policies about higher acceptance rates or in case,545,2,2,0,0,0,0,545,2,2,0,0,1,0,-0.047,-0.371,-0.513,-1.018,-0.371,-0.69,-1.434,-0.309,-1.383,-1.495,-1.379,-1.169,0.054,-0.84,-1.361,-1.713
of sudden a incoming of a large number of people in the general,550,2,2,0,0,0,0,550,2,2,0,0,1,0,0.866,0.285,0.667,-0.603,0.457,1.246,-0.44,0.816,-1.442,-1.31,-1.389,-1.188,-0.661,-0.92,-2.456,-1.801
population was not aware,555,2,2,0,0,0,0,555,2,2,0,0,1,0,0.49,1.705,-0.283,-0.697,0.197,1.434,-0.124,-0.529,-0.98,-0.837,-0.689,-0.874,0.747,0.627,-0.315,-1.05
