reult/alternative/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,reult/alternative/0/word/0/tartTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,reult/reultEndTime
0.78812301,,0.7137239,16.4,16.2,some,26,en-us,25.948708
0.78812301,,0.91283858,17.0,16.4,positive,26,en-us,25.948708
0.78812301,,0.64447218,17.6,17.0,benefits,26,en-us,25.948708
0.78812301,,0.72819138,18.8,18.3,if,26,en-us,25.948708
0.78812301,,0.7189644,18.9,18.8,the,26,en-us,25.948708
0.78812301,,0.90538788,19.7,18.9,Korean,26,en-us,25.948708
0.78812301,,0.71078306,20.7,20.0,government,26,en-us,25.948708
0.78812301,,0.77153981,21.6,21.1,leader,26,en-us,25.948708
0.78812301,,0.69418567,22.4,21.6,Reggie,26,en-us,25.948708
0.78812301,,0.69696498,23.6,22.9,into,26,en-us,25.948708
0.78812301,,0.73585063,23.7,23.6,the,26,en-us,25.948708
0.78812301,,0.72035551,24.1,23.7,country,26,en-us,25.948708
0.78812301,,0.88449878,24.3,24.1,with,26,en-us,25.948708
0.78812301,,0.6331377,24.6,24.3,some,26,en-us,25.948708
0.78812301,,0.65398294,25.3,24.6,restrictions,26,en-us,25.948708
0.67115831, and more over than that the Koreans has already decided to un Refugee convention in 1991 22,0.91283858,27.4,26.8,and,26,en-us,41.594105
0.67115831,,0.35210198,28.4,27.9,more,26,en-us,41.594105
0.67115831,,0.35210198,28.6,28.4,over,26,en-us,41.594105
0.67115831,,0.91283858,28.8,28.6,than,26,en-us,41.594105
0.67115831,,0.65975511,29.1,28.8,that,26,en-us,41.594105
0.67115831,,0.67874551,29.4,29.1,the,26,en-us,41.594105
0.67115831,,0.8039254,30.1,29.4,Koreans,26,en-us,41.594105
0.67115831,,0.91283858,31.1,30.8,has,26,en-us,41.594105
0.67115831,,0.65975511,31.4,31.1,already,26,en-us,41.594105
0.67115831,,0.56784654,32.2,31.4,decided,26,en-us,41.594105
0.67115831,,0.35210198,32.4,32.2,to,26,en-us,41.594105
0.67115831,,0.8675108,32.9,32.4,un,26,en-us,41.594105
0.67115831,,0.69266742,33.6,32.9,Refugee,26,en-us,41.594105
0.67115831,,0.5068832,34.4,33.6,convention,26,en-us,41.594105
0.67115831,,0.35210198,34.7,34.4,in,26,en-us,41.594105
0.67115831,,0.91283858,35.4,34.7,1991,26,en-us,41.594105
0.67115831,,0.91283858,38.2,37.5,22,26,en-us,41.594105
0.65925807, and more over than that the Koreans has already decided to un Refugee convention in 1991 22,0.91283858,27.4,26.8,and,26,en-us,41.654241
0.65925807,,0.35078436,28.4,27.9,more,26,en-us,41.654241
0.65925807,,0.35078436,28.6,28.4,over,26,en-us,41.654241
0.65925807,,0.91283858,28.8,28.6,than,26,en-us,41.654241
0.65925807,,0.66252011,29.1,28.8,that,26,en-us,41.654241
0.65925807,,0.58742118,29.4,29.1,the,26,en-us,41.654241
0.65925807,,0.7209329,30.1,29.4,Koreans,26,en-us,41.654241
0.65925807,,0.91283858,31.1,30.8,has,26,en-us,41.654241
0.65925807,,0.63355857,31.5,31.1,already,26,en-us,41.654241
0.65925807,,0.56006002,32.2,31.5,decided,26,en-us,41.654241
0.65925807,,0.35078436,32.4,32.2,to,26,en-us,41.654241
0.65925807,,0.8690508,32.9,32.4,un,26,en-us,41.654241
0.65925807,,0.69389004,33.6,32.9,Refugee,26,en-us,41.654241
0.65925807,,0.51262212,34.4,33.6,convention,26,en-us,41.654241
0.65925807,,0.35078436,34.7,34.4,in,26,en-us,41.654241
0.65925807,,0.91283858,35.4,34.7,1991,26,en-us,41.654241
0.65925807,,0.91283858,38.2,37.5,22,26,en-us,41.654241
0.81649184, to approve or to guarantee the status of refugee in the state something like that and also to compare to another country in European country like Germany does have two more very crisis in the refugee problems or issues more than seven hundred thousands but in Korean degree,0.91283858,42.8,42.7,to,26,en-us,72.06304
0.81649184,,0.91283858,43.5,42.8,approve,26,en-us,72.06304
0.81649184,,0.91283858,43.9,43.5,or,26,en-us,72.06304
0.81649184,,0.91283858,44.8,43.9,to,26,en-us,72.06304
0.81649184,,0.91283858,46.1,45.6,guarantee,26,en-us,72.06304
0.81649184,,0.91283858,46.3,46.1,the,26,en-us,72.06304
0.81649184,,0.91283858,46.7,46.3,status,26,en-us,72.06304
0.81649184,,0.91283858,46.9,46.7,of,26,en-us,72.06304
0.81649184,,0.91283858,47.6,46.9,refugee,26,en-us,72.06304
0.81649184,,0.91283858,49.0,48.8,in,26,en-us,72.06304
0.81649184,,0.91283858,49.1,49.0,the,26,en-us,72.06304
0.81649184,,0.91283858,49.7,49.1,state,26,en-us,72.06304
0.81649184,,0.91283858,50.4,50.0,something,26,en-us,72.06304
0.81649184,,0.91283858,50.6,50.4,like,26,en-us,72.06304
0.81649184,,0.91283858,51.1,50.6,that,26,en-us,72.06304
0.81649184,,0.91283858,51.5,51.3,and,26,en-us,72.06304
0.81649184,,0.91283858,52.2,51.5,also,26,en-us,72.06304
0.81649184,,0.91283858,53.3,53.1,to,26,en-us,72.06304
0.81649184,,0.91283858,53.9,53.3,compare,26,en-us,72.06304
0.81649184,,0.91283858,54.3,53.9,to,26,en-us,72.06304
0.81649184,,0.91283858,55.0,54.5,another,26,en-us,72.06304
0.81649184,,0.91283858,55.8,55.0,country,26,en-us,72.06304
0.81649184,,0.91283858,56.1,55.8,in,26,en-us,72.06304
0.81649184,,0.91283858,56.6,56.1,European,26,en-us,72.06304
0.81649184,,0.91283858,56.9,56.6,country,26,en-us,72.06304
0.81649184,,0.91283858,57.2,56.9,like,26,en-us,72.06304
0.81649184,,0.91283858,57.9,57.2,Germany,26,en-us,72.06304
0.81649184,,0.91283858,58.5,58.2,does,26,en-us,72.06304
0.81649184,,0.91283858,59.0,58.5,have,26,en-us,72.06304
0.81649184,,0.35449675,59.3,59.0,two,26,en-us,72.06304
0.81649184,,0.60069031,59.8,59.3,more,26,en-us,72.06304
0.81649184,,0.91283858,60.2,59.8,very,26,en-us,72.06304
0.81649184,,0.74052149,60.8,60.2,crisis,26,en-us,72.06304
0.81649184,,0.91283858,61.8,61.6,in,26,en-us,72.06304
0.81649184,,0.63813448,62.0,61.8,the,26,en-us,72.06304
0.81649184,,0.71096444,62.7,62.0,refugee,26,en-us,72.06304
0.81649184,,0.91283858,63.2,62.7,problems,26,en-us,72.06304
0.81649184,,0.91283858,63.4,63.2,or,26,en-us,72.06304
0.81649184,,0.48221216,64.1,63.4,issues,26,en-us,72.06304
0.81649184,,0.52121228,66.4,65.7,more,26,en-us,72.06304
0.81649184,,0.4275842,66.9,66.4,than,26,en-us,72.06304
0.81649184,,0.66277409,68.3,67.8,seven,26,en-us,72.06304
0.81649184,,0.3548817,69.1,68.3,hundred,26,en-us,72.06304
0.81649184,,0.71165472,70.1,69.5,thousands,26,en-us,72.06304
0.81649184,,0.60388589,71.1,70.7,but,26,en-us,72.06304
0.81649184,,0.91283858,71.3,71.1,in,26,en-us,72.06304
0.81649184,,0.91283858,71.6,71.3,Korean,26,en-us,72.06304
0.81649184,,0.4332523,71.9,71.6,degree,26,en-us,72.06304
0.86648917," to approve or to guarantee the status of refugee in the state something that has and also to compare to another country in Europe and Country like Germany does have more very crisis in the refugee problems or issues more than 700,000 but in Korean agreement is",0.91283858,42.8,42.7,to,26,en-us,72.443901
0.86648917,,0.91283858,43.5,42.8,approve,26,en-us,72.443901
0.86648917,,0.91283858,43.9,43.5,or,26,en-us,72.443901
0.86648917,,0.91283858,44.8,43.9,to,26,en-us,72.443901
0.86648917,,0.91283858,46.1,45.7,guarantee,26,en-us,72.443901
0.86648917,,0.91283858,46.3,46.1,the,26,en-us,72.443901
0.86648917,,0.91283858,46.8,46.3,status,26,en-us,72.443901
0.86648917,,0.91283858,46.9,46.8,of,26,en-us,72.443901
0.86648917,,0.91283858,47.6,46.9,refugee,26,en-us,72.443901
0.86648917,,0.91283858,49.0,48.8,in,26,en-us,72.443901
0.86648917,,0.91283858,49.0,49.0,the,26,en-us,72.443901
0.86648917,,0.91283858,49.6,49.0,state,26,en-us,72.443901
0.86648917,,0.91283858,50.4,50.0,something,26,en-us,72.443901
0.86648917,,0.91283858,50.6,50.4,that,26,en-us,72.443901
0.86648917,,0.91283858,51.1,50.6,has,26,en-us,72.443901
0.86648917,,0.91283858,51.5,51.3,and,26,en-us,72.443901
0.86648917,,0.91283858,52.2,51.5,also,26,en-us,72.443901
0.86648917,,0.91283858,53.3,53.1,to,26,en-us,72.443901
0.86648917,,0.91283858,53.9,53.3,compare,26,en-us,72.443901
0.86648917,,0.91283858,54.3,53.9,to,26,en-us,72.443901
0.86648917,,0.91283858,55.0,54.4,another,26,en-us,72.443901
0.86648917,,0.91283858,55.8,55.0,country,26,en-us,72.443901
0.86648917,,0.91283858,56.1,55.8,in,26,en-us,72.443901
0.86648917,,0.70075685,56.5,56.1,Europe,26,en-us,72.443901
0.86648917,,0.67037207,56.6,56.5,and,26,en-us,72.443901
0.86648917,,0.91283858,56.9,56.6,Country,26,en-us,72.443901
0.86648917,,0.90146631,57.2,56.9,like,26,en-us,72.443901
0.86648917,,0.78183645,57.9,57.2,Germany,26,en-us,72.443901
0.86648917,,0.90146631,58.5,58.2,does,26,en-us,72.443901
0.86648917,,0.75337219,59.0,58.5,have,26,en-us,72.443901
0.86648917,,0.7262938,59.8,59.3,more,26,en-us,72.443901
0.86648917,,0.91283858,60.2,59.8,very,26,en-us,72.443901
0.86648917,,0.87763804,60.8,60.2,crisis,26,en-us,72.443901
0.86648917,,0.91283858,61.8,61.6,in,26,en-us,72.443901
0.86648917,,0.7262938,62.0,61.8,the,26,en-us,72.443901
0.86648917,,0.84773427,62.6,62.0,refugee,26,en-us,72.443901
0.86648917,,0.91283858,63.2,62.6,problems,26,en-us,72.443901
0.86648917,,0.91283858,63.4,63.2,or,26,en-us,72.443901
0.86648917,,0.70981538,64.0,63.4,issues,26,en-us,72.443901
0.86648917,,0.71618462,66.4,65.7,more,26,en-us,72.443901
0.86648917,,0.70088863,66.9,66.4,than,26,en-us,72.443901
0.86648917,,0.91283858,69.1,67.8,"700,000",26,en-us,72.443901
0.86648917,,0.77344507,71.1,70.7,but,26,en-us,72.443901
0.86648917,,0.91283858,71.2,71.1,in,26,en-us,72.443901
0.86648917,,0.91283858,71.7,71.2,Korean,26,en-us,72.443901
0.86648917,,0.72660029,72.1,71.7,agreement,26,en-us,72.443901
0.86648917,,0.91283858,72.2,72.1,is,26,en-us,72.443901
0.67764062, veggies is only 550 people solar the first thing that I think the Korean government should accept this group of refugees,0.39031893,72.8,72.5,veggies,26,en-us,83.057914
0.67764062,,0.52679354,73.1,72.8,is,26,en-us,83.057914
0.67764062,,0.61783743,73.6,73.1,only,26,en-us,83.057914
0.67764062,,0.72157282,75.0,73.6,550,26,en-us,83.057914
0.67764062,,0.624264,75.6,75.1,people,26,en-us,83.057914
0.67764062,,0.60324037,76.1,75.6,solar,26,en-us,83.057914
0.67764062,,0.63983995,77.0,76.7,the,26,en-us,83.057914
0.67764062,,0.91283858,77.3,77.0,first,26,en-us,83.057914
0.67764062,,0.68038315,77.5,77.3,thing,26,en-us,83.057914
0.67764062,,0.49083444,77.8,77.5,that,26,en-us,83.057914
0.67764062,,0.91283858,77.9,77.8,I,26,en-us,83.057914
0.67764062,,0.54240602,78.4,77.9,think,26,en-us,83.057914
0.67764062,,0.71546006,79.2,79.1,the,26,en-us,83.057914
0.67764062,,0.91283858,79.6,79.2,Korean,26,en-us,83.057914
0.67764062,,0.69767183,80.0,79.6,government,26,en-us,83.057914
0.67764062,,0.67967844,80.5,80.0,should,26,en-us,83.057914
0.67764062,,0.85604584,81.0,80.6,accept,26,en-us,83.057914
0.67764062,,0.51022744,81.4,81.0,this,26,en-us,83.057914
0.67764062,,0.91283858,81.8,81.4,group,26,en-us,83.057914
0.67764062,,0.72315985,81.9,81.8,of,26,en-us,83.057914
0.67764062,,0.55936331,82.5,81.9,refugees,26,en-us,83.057914
0.7036531, geez is only 550 people so it is the first thing that I think the Korean government should accept this group of refugees,0.47254488,72.8,72.5,geez,26,en-us,83.098006
0.7036531,,0.63642853,73.1,72.8,is,26,en-us,83.098006
0.7036531,,0.57826072,73.6,73.1,only,26,en-us,83.098006
0.7036531,,0.72676247,75.0,73.6,550,26,en-us,83.098006
0.7036531,,0.662238,75.6,75.1,people,26,en-us,83.098006
0.7036531,,0.66226614,76.1,75.6,so,26,en-us,83.098006
0.7036531,,0.65318596,76.7,76.1,it,26,en-us,83.098006
0.7036531,,0.50758117,77.0,76.7,is,26,en-us,83.098006
0.7036531,,0.67813325,77.1,77.0,the,26,en-us,83.098006
0.7036531,,0.72922671,77.3,77.1,first,26,en-us,83.098006
0.7036531,,0.68631256,77.5,77.3,thing,26,en-us,83.098006
0.7036531,,0.54745138,77.8,77.5,that,26,en-us,83.098006
0.7036531,,0.91283858,77.9,77.8,I,26,en-us,83.098006
0.7036531,,0.61166728,78.4,77.9,think,26,en-us,83.098006
0.7036531,,0.91283858,79.2,79.1,the,26,en-us,83.098006
0.7036531,,0.91283858,79.6,79.2,Korean,26,en-us,83.098006
0.7036531,,0.69349748,80.0,79.6,government,26,en-us,83.098006
0.7036531,,0.71984029,80.5,80.0,should,26,en-us,83.098006
0.7036531,,0.91283858,81.0,80.5,accept,26,en-us,83.098006
0.7036531,,0.57725328,81.4,81.0,this,26,en-us,83.098006
0.7036531,,0.91283858,81.8,81.4,group,26,en-us,83.098006
0.7036531,,0.91283858,81.9,81.8,of,26,en-us,83.098006
0.7036531,,0.56433749,82.5,81.9,refugees,26,en-us,83.098006
0.73828775, but I think do appropriate of the refugees in Korean butter with your vested actually is just 2.4% from 1994 the sin that the first time that Korea and South Korean government except the a refugee and but,0.91283858,163.1,162.6,but,26,en-us,187.824945
0.73828775,,0.91283858,164.1,164.0,I,26,en-us,187.824945
0.73828775,,0.91283858,164.6,164.1,think,26,en-us,187.824945
0.73828775,,0.91283858,165.2,164.6,do,26,en-us,187.824945
0.73828775,,0.91283858,166.6,165.3,appropriate,26,en-us,187.824945
0.73828775,,0.91283858,167.2,167.0,of,26,en-us,187.824945
0.73828775,,0.76511049,167.9,167.2,the,26,en-us,187.824945
0.73828775,,0.91283858,169.5,168.8,refugees,26,en-us,187.824945
0.73828775,,0.89017016,170.1,169.7,in,26,en-us,187.824945
0.73828775,,0.83582383,170.5,170.1,Korean,26,en-us,187.824945
0.73828775,,0.62871289,171.0,170.5,butter,26,en-us,187.824945
0.73828775,,0.85703105,171.3,171.0,with,26,en-us,187.824945
0.73828775,,0.73357815,171.5,171.3,your,26,en-us,187.824945
0.73828775,,0.72417086,172.2,171.5,vested,26,en-us,187.824945
0.73828775,,0.70908487,172.7,172.4,actually,26,en-us,187.824945
0.73828775,,0.67435491,173.0,172.7,is,26,en-us,187.824945
0.73828775,,0.54374671,173.5,173.0,just,26,en-us,187.824945
0.73828775,,0.91283858,175.1,174.5,2.40%,26,en-us,187.824945
0.73828775,,0.61572212,177.3,177.0,from,26,en-us,187.824945
0.73828775,,0.72368461,178.5,177.3,1994,26,en-us,187.824945
0.73828775,,0.91283858,179.0,178.9,the,26,en-us,187.824945
0.73828775,,0.7010861,179.2,179.0,sin,26,en-us,187.824945
0.73828775,,0.47693935,179.8,179.2,that,26,en-us,187.824945
0.73828775,,0.69569451,180.3,180.1,the,26,en-us,187.824945
0.73828775,,0.76330459,180.6,180.3,first,26,en-us,187.824945
0.73828775,,0.84288633,180.8,180.6,time,26,en-us,187.824945
0.73828775,,0.43494505,181.2,180.8,that,26,en-us,187.824945
0.73828775,,0.91283858,181.6,181.2,Korea,26,en-us,187.824945
0.73828775,,0.48434266,181.7,181.6,and,26,en-us,187.824945
0.73828775,,0.91283858,181.9,181.7,South,26,en-us,187.824945
0.73828775,,0.71773797,182.1,181.9,Korean,26,en-us,187.824945
0.73828775,,0.61459798,182.6,182.1,government,26,en-us,187.824945
0.73828775,,0.72109181,182.9,182.6,except,26,en-us,187.824945
0.73828775,,0.53281265,183.4,182.9,the,26,en-us,187.824945
0.73828775,,0.34883893,184.0,183.8,a,26,en-us,187.824945
0.73828775,,0.71773797,184.6,184.0,refugee,26,en-us,187.824945
0.73828775,,0.57048285,185.9,185.3,and,26,en-us,187.824945
0.73828775,,0.69002849,187.1,186.6,but,26,en-us,187.824945
0.8425113, except the a refugee and but actually it's fun up to none up until now the government also consider voice of the South Korean citizens and by that by the consider that they requirement already put their dmn citizen remains traveler a citizen that want to come in to Curry,0.91283858,183.0,182.7,except,26,en-us,212.601001
0.8425113,,0.91283858,183.4,183.0,the,26,en-us,212.601001
0.8425113,,0.91283858,184.0,183.9,a,26,en-us,212.601001
0.8425113,,0.91283858,184.6,184.0,refugee,26,en-us,212.601001
0.8425113,,0.91283858,185.9,185.2,and,26,en-us,212.601001
0.8425113,,0.91283858,187.1,186.6,but,26,en-us,212.601001
0.8425113,,0.91283858,188.7,188.3,actually,26,en-us,212.601001
0.8425113,,0.91283858,188.9,188.7,it's,26,en-us,212.601001
0.8425113,,0.91283858,189.2,188.9,fun,26,en-us,212.601001
0.8425113,,0.91283858,189.5,189.3,up,26,en-us,212.601001
0.8425113,,0.91283858,189.7,189.5,to,26,en-us,212.601001
0.8425113,,0.70835656,190.2,189.7,none,26,en-us,212.601001
0.8425113,,0.91283858,190.4,190.2,up,26,en-us,212.601001
0.8425113,,0.91283858,190.6,190.4,until,26,en-us,212.601001
0.8425113,,0.72085869,191.1,190.6,now,26,en-us,212.601001
0.8425113,,0.75870758,191.6,191.3,the,26,en-us,212.601001
0.8425113,,0.75486594,192.3,191.6,government,26,en-us,212.601001
0.8425113,,0.72604221,193.4,192.3,also,26,en-us,212.601001
0.8425113,,0.75059271,194.5,193.5,consider,26,en-us,212.601001
0.8425113,,0.90531886,195.1,194.7,voice,26,en-us,212.601001
0.8425113,,0.75059259,195.6,195.1,of,26,en-us,212.601001
0.8425113,,0.91283858,196.0,195.9,the,26,en-us,212.601001
0.8425113,,0.91206998,196.3,196.0,South,26,en-us,212.601001
0.8425113,,0.91206998,196.5,196.3,Korean,26,en-us,212.601001
0.8425113,,0.90249079,197.1,196.5,citizens,26,en-us,212.601001
0.8425113,,0.71939653,198.5,197.8,and,26,en-us,212.601001
0.8425113,,0.91283858,198.8,198.6,by,26,en-us,212.601001
0.8425113,,0.83293283,199.2,198.8,that,26,en-us,212.601001
0.8425113,,0.75059259,199.7,199.2,by,26,en-us,212.601001
0.8425113,,0.72714031,200.2,199.9,the,26,en-us,212.601001
0.8425113,,0.91283858,200.6,200.2,consider,26,en-us,212.601001
0.8425113,,0.73524892,200.9,200.6,that,26,en-us,212.601001
0.8425113,,0.72891867,201.4,200.9,they,26,en-us,212.601001
0.8425113,,0.91283858,202.6,202.0,requirement,26,en-us,212.601001
0.8425113,,0.75698388,203.4,202.6,already,26,en-us,212.601001
0.8425113,,0.91283858,204.2,204.0,put,26,en-us,212.601001
0.8425113,,0.76664048,204.9,204.2,their,26,en-us,212.601001
0.8425113,,0.72917211,206.5,205.9,dmn,26,en-us,212.601001
0.8425113,,0.87645704,207.4,206.7,citizen,26,en-us,212.601001
0.8425113,,0.82815313,208.6,208.1,remains,26,en-us,212.601001
0.8425113,,0.90120715,209.1,208.6,traveler,26,en-us,212.601001
0.8425113,,0.91283858,209.2,209.1,a,26,en-us,212.601001
0.8425113,,0.90499485,209.7,209.2,citizen,26,en-us,212.601001
0.8425113,,0.70451885,210.2,209.7,that,26,en-us,212.601001
0.8425113,,0.91283858,210.8,210.5,want,26,en-us,212.601001
0.8425113,,0.72361875,211.4,210.8,to,26,en-us,212.601001
0.8425113,,0.80772048,211.8,211.6,come,26,en-us,212.601001
0.8425113,,0.74746299,212.0,211.8,in,26,en-us,212.601001
0.8425113,,0.91283858,212.2,212.0,to,26,en-us,212.601001
0.8425113,,0.91283858,212.4,212.2,Curry,26,en-us,212.601001
0.89703178, actually it's fun up to none up until now the government also consider walls of the South Korean citizens and by that by the consider that they are requirement already put their game in citizen I already miss traveler or citizen that want to come into Korean have to get some result before but so I think this,0.91283858,188.8,188.4,actually,26,en-us,218.10345
0.89703178,,0.91283858,189.0,188.8,it's,26,en-us,218.10345
0.89703178,,0.91283858,189.3,189.0,fun,26,en-us,218.10345
0.89703178,,0.91283858,189.6,189.3,up,26,en-us,218.10345
0.89703178,,0.91283858,189.8,189.6,to,26,en-us,218.10345
0.89703178,,0.91283858,190.2,189.8,none,26,en-us,218.10345
0.89703178,,0.91283858,190.4,190.2,up,26,en-us,218.10345
0.89703178,,0.91283858,190.7,190.4,until,26,en-us,218.10345
0.89703178,,0.91283858,191.2,190.7,now,26,en-us,218.10345
0.89703178,,0.91283858,191.7,191.3,the,26,en-us,218.10345
0.89703178,,0.91283858,192.3,191.7,government,26,en-us,218.10345
0.89703178,,0.91283858,193.5,192.3,also,26,en-us,218.10345
0.89703178,,0.91283858,194.6,193.5,consider,26,en-us,218.10345
0.89703178,,0.91283858,195.2,194.8,walls,26,en-us,218.10345
0.89703178,,0.91283858,195.7,195.2,of,26,en-us,218.10345
0.89703178,,0.91283858,196.1,196.0,the,26,en-us,218.10345
0.89703178,,0.91283858,196.3,196.1,South,26,en-us,218.10345
0.89703178,,0.91283858,196.5,196.3,Korean,26,en-us,218.10345
0.89703178,,0.91283858,197.2,196.5,citizens,26,en-us,218.10345
0.89703178,,0.91283858,198.6,197.7,and,26,en-us,218.10345
0.89703178,,0.91283858,198.8,198.6,by,26,en-us,218.10345
0.89703178,,0.91283858,199.3,198.8,that,26,en-us,218.10345
0.89703178,,0.91283858,199.8,199.3,by,26,en-us,218.10345
0.89703178,,0.91283858,200.2,200.0,the,26,en-us,218.10345
0.89703178,,0.91283858,200.6,200.2,consider,26,en-us,218.10345
0.89703178,,0.91283858,201.0,200.6,that,26,en-us,218.10345
0.89703178,,0.91283858,201.5,201.0,they,26,en-us,218.10345
0.89703178,,0.91283858,202.1,202.0,are,26,en-us,218.10345
0.89703178,,0.91283858,202.7,202.1,requirement,26,en-us,218.10345
0.89703178,,0.91283858,203.5,202.7,already,26,en-us,218.10345
0.89703178,,0.91283858,204.3,204.0,put,26,en-us,218.10345
0.89703178,,0.91283858,204.9,204.3,their,26,en-us,218.10345
0.89703178,,0.91283858,206.2,206.0,game,26,en-us,218.10345
0.89703178,,0.91283858,206.6,206.2,in,26,en-us,218.10345
0.89703178,,0.91283858,207.5,206.8,citizen,26,en-us,218.10345
0.89703178,,0.91283858,208.1,208.0,I,26,en-us,218.10345
0.89703178,,0.91283858,208.4,208.1,already,26,en-us,218.10345
0.89703178,,0.91283858,208.7,208.4,miss,26,en-us,218.10345
0.89703178,,0.91283858,209.2,208.7,traveler,26,en-us,218.10345
