seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2,seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
65,1,3,1,1,1,2,1,,,,x,,,,,,,,,,,x,65.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
70,1,3,1,1,1,2,1,,,,x,,,,,,,,,,,x,70.0,3.0,4.0,3.0,2.0,1.0,3.0,1.0,,,,,,x,,,,,,,,,x
75,1,3,1,1,1,2,1,,,,x,,,,,,,,,,,x,75.0,3.0,4.0,3.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
80,1,3,1,1,1,2,1,,,,x,,,,,,,,,,,x,80.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
85,1,3,1,1,1,2,1,,,,x,,,,,,,,,,,x,85.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,,,,,,x,,,,,,,,,x
90,1,3,1,1,1,2,1,,,,x,,,,,,,,,,,x,90.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,,,,,,x,,,,,,,,,x
95,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x,95.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
100,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x,100.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
105,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x,105.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
110,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x,110.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
115,3,3,1,1,1,2,1,,,,,,,x,,,,,,,,x,115.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
120,2,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,120.0,5.0,5.0,4.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
125,2,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,125.0,5.0,5.0,3.0,3.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
130,2,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,130.0,5.0,5.0,3.0,3.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
135,2,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,135.0,5.0,5.0,3.0,3.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
140,2,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,140.0,5.0,5.0,3.0,3.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
145,2,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,145.0,3.0,2.0,3.0,2.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
150,2,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,150.0,3.0,2.0,3.0,2.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
155,2,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,155.0,3.0,2.0,2.0,2.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
160,2,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,160.0,3.0,2.0,2.0,2.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
165,2,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,165.0,3.0,2.0,2.0,2.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
170,2,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,170.0,3.0,2.0,2.0,2.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
175,2,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,175.0,3.0,2.0,2.0,2.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
180,2,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,180.0,3.0,2.0,2.0,2.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
185,2,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,185.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,,,x,,,,,,,,,,,,x
190,2,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,190.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,,,x,,,,,,,,,,,,x
195,2,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,195.0,3.0,5.0,3.0,3.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
200,3,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,200.0,3.0,5.0,3.0,3.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
205,3,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,205.0,3.0,5.0,3.0,3.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
210,3,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,210.0,3.0,5.0,3.0,3.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
215,4,4,1,1,1,4,1,,x,,,,,,x,,,,,,,,215.0,3.0,5.0,3.0,3.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
220,4,4,1,1,1,4,1,,x,,,,,,x,,,,,,,,220.0,3.0,5.0,3.0,3.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
225,4,4,1,1,1,4,1,,x,,,,,,x,,,,,,,,225.0,3.0,5.0,3.0,3.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
230,4,4,1,1,1,4,1,,x,,,,,,x,,,,,,,,230.0,3.0,4.0,3.0,3.0,1.0,4.0,1.0,,x,,,,,,,,,,,,,x
235,4,4,1,1,1,4,1,,x,,,,,,x,,,,,,,,235.0,3.0,4.0,3.0,3.0,1.0,4.0,1.0,,x,,,,,,,,,,,,,x
240,4,4,1,1,1,4,1,,x,,,,,,x,,,,,,,,240.0,3.0,4.0,3.0,3.0,1.0,4.0,1.0,,x,,,,,,,,,,,,,x
245,4,4,1,1,1,4,1,,x,,,,,,x,,,,,,,,245.0,3.0,4.0,3.0,3.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
250,4,4,1,1,1,4,1,,x,,,,,,x,,,,,,,,250.0,3.0,4.0,3.0,3.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
255,3,4,1,1,1,3,1,,x,,,,,,x,,,,,,,,255.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
260,3,4,1,1,1,3,1,,x,,,,,,x,,,,,,,,260.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
265,3,4,1,1,1,3,1,,x,,,,,,x,,,,,,,,265.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
270,3,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,270.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
275,3,4,1,1,1,3,1,,,,x,,,,,,,,,,,x,275.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
280,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,280.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
285,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,285.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
290,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,290.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
295,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,295.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
300,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,300.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
305,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,305.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
310,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,310.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
315,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,315.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
320,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,320.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
325,2,4,1,2,1,2,1,,,,x,,,,,,,,,,,x,325.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,x,,
330,2,4,1,2,1,2,1,,,,x,,,,,,,,,,,x,330.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,x,,
335,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,335.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,x,,
340,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,340.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,x,,
345,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,345.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,x,,
350,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,350.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,x,,
355,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,355.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,x,,
360,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,360.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,,,,x,,,,,,,,,x,,
365,3,3,1,1,2,3,1,,,,x,,,,,,,,,,,x,365.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
370,3,3,1,1,2,3,1,,,,x,,,,,,,,,,,x,370.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
375,3,3,1,1,2,3,1,,,,x,,,,,,,,,,,x,375.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
380,3,3,1,1,2,3,1,,,,x,,,,,,,,,,,x,380.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
385,3,3,1,1,2,3,1,,,,x,,,,,,,,,,,x,385.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
390,3,3,1,1,2,3,1,,,,x,,,,,,,,,,,x,390.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
395,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,395.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
400,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,400.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
405,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,405.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,,,,,,x,,,,,,,,,x
410,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,410.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,,,,,,x,,,,,,,,,x
415,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,415.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,,,,,,x,,,,,,,,,x
420,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,420.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
425,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,425.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
430,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,430.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
435,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,435.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,,x,,,,,,,,,,,,,x
440,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,440.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,,x,,,,,,,,,,,,,x
445,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,445.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
450,2,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,450.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
455,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,455.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
460,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,460.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
465,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,465.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
470,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,470.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
475,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,475.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
480,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,480.0,3.0,4.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
485,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,485.0,3.0,4.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
490,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,490.0,5.0,3.0,3.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
495,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,495.0,5.0,3.0,3.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
500,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,500.0,5.0,3.0,3.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
505,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,505.0,5.0,3.0,3.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
510,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,510.0,5.0,3.0,3.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
515,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,515.0,5.0,3.0,3.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
520,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,520.0,5.0,3.0,3.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
525,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,525.0,5.0,3.0,3.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
530,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,530.0,5.0,3.0,3.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
535,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,535.0,5.0,3.0,3.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
540,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,540.0,5.0,3.0,3.0,3.0,1.0,2.0,1.0,,,x,,,,,,,,,,x,,
545,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,545.0,5.0,3.0,3.0,3.0,1.0,2.0,1.0,,,x,,,,,,,,,,x,,
550,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,550.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,,,,,,x,,,,,,,,,x
555,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,555.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
560,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,560.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
565,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,565.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
570,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,570.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
575,3,4,1,1,2,2,1,,,,x,,,,,,,,,,,x,575.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
580,3,4,1,1,2,2,1,,,,x,,,,,,,,,,,x,580.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
585,3,4,1,1,2,2,1,,,,x,,,,,,,,,,,x,585.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
590,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,590.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
595,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,595.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
600,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,600.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
605,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,605.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
610,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,610.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,,,x,,,,,,,,,,,,x
615,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,615.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,,,x,,,,,,,,,,,,x
620,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,620.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,,,x,,,,,,,,,,,,x
625,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,625.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,,,x,,,,,,,,,,,,x
630,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,630.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,,,x,,,,,,,,,,,,x
635,3,4,1,1,1,2,1,,,,x,,,,,,,,,,,x,635.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,,,x,,,,,,,,,,,,x
640,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,640.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,,,x,,,,,,,,,,,,x
645,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,645.0,5.0,3.0,2.0,1.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
650,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,650.0,5.0,3.0,2.0,1.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
655,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,655.0,5.0,3.0,2.0,1.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
660,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,660.0,5.0,3.0,2.0,1.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
665,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,665.0,5.0,3.0,2.0,1.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
670,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,670.0,5.0,3.0,2.0,1.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
675,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,675.0,5.0,3.0,2.0,1.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
680,2,4,1,2,1,1,1,,,,x,,,,,,,,,,,x,680.0,5.0,4.0,2.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
685,2,4,1,2,1,1,1,,,,x,,,,,,,,,,,x,685.0,5.0,4.0,2.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
690,2,3,1,2,2,1,1,,,,x,,,,,,,,,,,x,690.0,5.0,4.0,2.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
695,2,3,1,1,2,1,1,,,,x,,,,,,,,,,,x,695.0,5.0,4.0,2.0,2.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
700,2,3,1,1,2,1,1,,,,x,,,,,,,,,,,x,700.0,5.0,3.0,3.0,4.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
705,2,3,1,1,2,1,1,,,,x,,,,,,,,,,,x,705.0,5.0,3.0,3.0,4.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
710,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,710.0,5.0,5.0,3.0,4.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
715,2,4,1,1,1,1,1,,,,x,,,,,,,,,,,x,715.0,5.0,5.0,3.0,4.0,1.0,2.0,1.0,,,,x,,,,,,,,x,,,
720,2,5,1,2,1,1,1,,,x,,,,,,,,,x,,,,720.0,5.0,5.0,3.0,4.0,1.0,2.0,1.0,,,x,,,,,,,,,x,,,
725,2,5,1,2,1,1,1,,,x,,,,,,,,,x,,,,725.0,5.0,5.0,3.0,4.0,1.0,2.0,1.0,,,x,,,,,,,,,,,,x
730,2,5,1,2,1,1,1,,,x,,,,,,,,,x,,,,730.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,,,x,,,,,,,,,,,,x
735,1,5,1,3,1,1,1,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
